                       Time(s)                         E(mV)                         I(mA)                         Q(mC)                 Capacity(mAh)                    Energy(Wh)                          P(W)
                      0.100000                   1992.742065                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      0.200000                   1992.826050                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      0.300000                   1993.161743                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      0.400000                   1993.245605                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      0.500000                   1993.077881                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      0.600000                   1992.154907                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      0.700000                   1992.909912                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      0.800000                   1993.245605                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      0.900000                   1993.077881                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      1.000000                   1993.161743                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      1.100000                   1992.826050                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      1.200000                   1993.245605                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      1.300000                   1993.161743                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      1.400000                   1992.742065                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      1.500000                   1992.993896                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      1.600000                   1992.742065                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      1.700000                   1992.909912                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      1.800000                   1993.245605                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      1.900000                   1993.245605                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      2.000000                   1993.245605                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      2.100000                   1993.077881                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      2.200000                   1993.245605                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      2.300000                   1993.665161                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      2.400000                   1993.665161                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      2.500000                   1993.665161                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      2.600000                   1993.916748                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
                      2.700000                   1994.000732                      0.000000                      0.000000                      0.000000                      0.000000                      0.000000
