                       Time(s)                         E(mV)                         I(mA)
                      0.010000                   -997.723450                     -5.245421
                      0.020000                   -996.045349                     -5.010738
                      0.030000                   -993.947693                     -4.961776
                      0.040000                   -991.682251                     -4.928009
                      0.050000                   -989.752441                     -4.899306
                      0.060000                   -987.990417                     -5.074349
                      0.070000                   -985.641052                     -4.800336
                      0.080000                   -983.879028                     -4.896254
                      0.090000                   -981.697510                     -4.842570
                      0.100000                   -979.935486                     -4.868352
                      0.110000                   -978.005676                     -4.946120
                      0.120000                   -975.656372                     -4.801778
                      0.130000                   -973.978271                     -4.739869
                      0.140000                   -971.880615                     -4.706879
                      0.150000                   -969.866882                     -4.946629
                      0.160000                   -967.769287                     -4.942389
                      0.170000                   -966.007263                     -4.839263
                      0.180000                   -963.657898                     -4.812040
                      0.190000                   -961.811951                     -4.663457
                      0.200000                   -959.798279                     -4.709678
                      0.210000                   -957.784485                     -4.658539
                      0.220000                   -955.938599                     -4.624955
                      0.230000                   -953.757080                     -4.610198
                      0.240000                   -951.995056                     -4.587724
                      0.250000                   -949.897400                     -4.594509
                      0.260000                   -947.883728                     -4.307436
                      0.270000                   -946.037842                     -4.310320
                      0.280000                   -943.940186                     -4.356200
                      0.290000                   -941.926453                     -4.364511
                      0.300000                   -939.661011                     -4.595781
                      0.310000                   -937.731201                     -4.543455
                      0.320000                   -935.717407                     -4.559314
                      0.330000                   -933.871521                     -4.562452
                      0.340000                   -931.606079                     -4.427014
                      0.350000                   -929.844116                     -4.489263
                      0.360000                   -927.662537                     -4.452202
                      0.370000                   -925.732788                     -4.399452
                      0.380000                   -923.886780                     -4.405304
                      0.390000                   -921.873108                     -4.408611
                      0.400000                   -919.691589                     -4.333557
                      0.410000                   -917.593933                     -4.334066
                      0.420000                   -915.831909                     -4.386562
                      0.430000                   -913.482544                     -4.543200
                      0.440000                   -913.146973                     -4.722992
                      0.450000                   -909.622925                     -4.428881
                      0.460000                   -907.777039                     -4.410053
                      0.470000                   -905.679382                     -4.363664
                      0.480000                   -903.581787                     -4.374688
                      0.490000                   -901.735840                     -4.188112
                      0.500000                   -899.973816                     -3.465724
                      0.510000                   -898.127930                     -3.826409
                      0.520000                   -895.694702                     -3.733291
                      0.530000                   -893.848755                     -3.535859
                      0.540000                   -891.751160                     -3.213846
                      0.550000                   -889.821289                     -3.182298
                      0.560000                   -888.059265                     -2.966124
                      0.570000                   -885.961731                     -2.916851
                      0.580000                   -883.360596                     -3.444437
                      0.590000                   -881.682495                     -3.675622
                      0.600000                   -880.004395                     -3.014973
                      0.610000                   -877.738953                     -2.964597
                      0.620000                   -875.893066                     -2.955438
                      0.630000                   -873.543701                     -3.789857
                      0.640000                   -871.781738                     -2.904723
                      0.650000                   -869.767944                     -3.019892
                      0.660000                   -867.838196                     -2.876482
                      0.670000                   -865.572754                     -2.871055
                      0.680000                   -863.894653                     -2.873005
                      0.690000                   -861.796997                     -2.856468
                      0.700000                   -859.699341                     -2.857570
                      0.710000                   -857.685669                     -3.277282
                      0.720000                   -855.755798                     -3.240815
                      0.730000                   -853.909912                     -2.812538
                      0.740000                   -851.812256                     -2.800071
                      0.750000                   -849.714661                     -2.830602
                      0.760000                   -847.617004                     -2.861980
                      0.770000                   -845.687134                     -2.828651
                      0.780000                   -843.673462                     -2.989106
                      0.790000                   -841.575806                     -3.356577
                      0.800000                   -839.981567                     -3.497866
                      0.810000                   -837.212769                     -3.823356
                      0.820000                   -835.534668                     -3.269310
                      0.830000                   -833.437012                     -3.710393
                      0.840000                   -831.842834                     -2.778360
                      0.850000                   -829.829041                     -2.802276
                      0.860000                   -827.815369                     -2.759279
                      0.870000                   -825.717712                     -2.751392
                      0.880000                   -823.787903                     -2.733328
                      0.890000                   -821.942017                     -2.720352
                      0.900000                   -819.844360                     -2.750289
                      0.910000                   -817.830627                     -2.919310
                      0.920000                   -815.733032                     -2.894377
                      0.930000                   -813.803162                     -2.898023
                      0.940000                   -811.789490                     -2.866390
                      0.950000                   -809.859619                     -2.864864
                      0.960000                   -807.510315                     -3.323078
                      0.970000                   -805.916077                     -2.828821
                      0.980000                   -803.566772                     -2.821018
                      0.990000                   -801.888611                     -2.812368
                      1.000000                   -799.874939                     -2.779124
                      1.010000                   -797.777283                     -2.807873
                      1.020000                   -795.847534                     -2.797611
                      1.030000                   -793.498108                     -2.787180
                      1.040000                   -791.903992                     -2.775138
                      1.050000                   -789.974121                     -2.762417
                      1.060000                   -787.792542                     -2.723151
                      1.070000                   -785.694946                     -2.718826
                      1.080000                   -784.016846                     -2.685411
                      1.090000                   -782.003113                     -2.675913
                      1.100000                   -779.653748                     -2.651997
                      1.110000                   -777.807861                     -2.652761
                      1.120000                   -775.877991                     -2.638598
                      1.130000                   -773.864319                     -2.628506
                      1.140000                   -771.682800                     -2.617651
                      1.150000                   -769.501221                     -2.629269
                      1.160000                   -767.907043                     -2.609424
                      1.170000                   -765.809387                     -2.601622
                      1.180000                   -763.879578                     -2.593480
                      1.190000                   -761.698059                     -2.583049
                      1.200000                   -759.600464                     -2.560490
                      1.210000                   -757.586731                     -2.555995
