                       Time(s)                         E(mV)                         I(mA)                         Q(mC)                 Capacity(mAh)                    Energy(Wh)                          P(W)
                      0.100000                   3270.702393                      0.998618                      0.099862                      0.000028                      0.000000                      0.003266
                      0.200000                   7571.263672                      0.997431                      0.199664                      0.000055                      0.000000                      0.007552
                      0.300000                   5331.414551                      0.998703                      0.299471                      0.000083                      0.000000                      0.005325
                      0.400000                   4453.765625                      0.998534                      0.399333                      0.000111                      0.000001                      0.004447
                      0.500000                   3706.673828                      0.994717                      0.498995                      0.000139                      0.000001                      0.003687
                      0.600000                   3525.690186                      0.998364                      0.598649                      0.000166                      0.000001                      0.003520
                      0.700000                   3993.545898                      1.001332                      0.698634                      0.000194                      0.000001                      0.003999
                      0.800000                   3549.351562                      0.998703                      0.798636                      0.000222                      0.000001                      0.003545
                      0.900000                   3539.031250                      0.998194                      0.898481                      0.000250                      0.000001                      0.003533
                      1.000000                   3520.907715                      0.998618                      0.998322                      0.000277                      0.000001                      0.003516
                      1.100000                   3534.584229                      0.998279                      1.098166                      0.000305                      0.000001                      0.003529
                      1.200000                   3524.599365                      0.998534                      1.198007                      0.000333                      0.000001                      0.003519
                      1.300000                   3498.253418                      0.998534                      1.297860                      0.000361                      0.000001                      0.003493
                      1.400000                   3526.781006                      0.998873                      1.397731                      0.000388                      0.000002                      0.003523
                      1.500000                   3495.987793                      0.998618                      1.497605                      0.000416                      0.000002                      0.003491
                      1.600000                   3483.737793                      0.998534                      1.597463                      0.000444                      0.000002                      0.003479
                      1.700000                   3467.963623                      0.998534                      1.697316                      0.000471                      0.000002                      0.003463
                      1.800000                   3493.974121                      0.998449                      1.797165                      0.000499                      0.000002                      0.003489
                      1.900000                   3498.169434                      0.998364                      1.897006                      0.000527                      0.000002                      0.003492
                      2.000000                   3512.097656                      0.998194                      1.996834                      0.000555                      0.000002                      0.003506
                      2.100000                   3500.602783                      0.998618                      2.096674                      0.000582                      0.000002                      0.003496
                      2.200000                   3495.904053                      0.998279                      2.196519                      0.000610                      0.000002                      0.003490
                      2.300000                   3507.231201                      0.998703                      2.296369                      0.000638                      0.000002                      0.003503
                      2.400000                   3492.379883                      0.998449                      2.396226                      0.000666                      0.000003                      0.003487
                      2.500000                   3487.261963                      0.998364                      2.496067                      0.000693                      0.000003                      0.003482
                      2.600000                   3481.891846                      0.998449                      2.595907                      0.000721                      0.000003                      0.003476
                      2.700000                   3475.095703                      0.998534                      2.695756                      0.000749                      0.000003                      0.003470
                      2.800000                   3476.018555                      0.998449                      2.795606                      0.000777                      0.000003                      0.003471
                      2.900000                   3473.249756                      0.998279                      2.895442                      0.000804                      0.000003                      0.003467
                      3.000000                   3472.242676                      0.998449                      2.995278                      0.000832                      0.000003                      0.003467
                      3.100000                   3477.696533                      0.998364                      3.095119                      0.000860                      0.000003                      0.003472
                      3.200000                   3479.542480                      0.998618                      3.194968                      0.000887                      0.000003                      0.003475
                      3.300000                   3478.535645                      0.998449                      3.294822                      0.000915                      0.000003                      0.003473
                      3.400000                   3478.200195                      0.998449                      3.394666                      0.000943                      0.000003                      0.003473
                      3.500000                   3485.248047                      0.998703                      3.494524                      0.000971                      0.000004                      0.003481
                      3.600000                   3484.408936                      0.998449                      3.594382                      0.000998                      0.000004                      0.003479
                      3.700000                   3488.604248                      0.998364                      3.694222                      0.001026                      0.000004                      0.003483
                      3.800000                   3489.107666                      0.998534                      3.794067                      0.001054                      0.000004                      0.003484
                      3.900000                   3493.219238                      0.998449                      3.893916                      0.001082                      0.000004                      0.003488
                      4.000000                   3491.541016                      0.998534                      3.993765                      0.001109                      0.000004                      0.003486
                      4.100000                   3488.688232                      0.998449                      4.093615                      0.001137                      0.000004                      0.003483
                      4.200000                   3490.450195                      0.998449                      4.193459                      0.001165                      0.000004                      0.003485
                      4.300000                   3489.862793                      0.998618                      4.293313                      0.001193                      0.000004                      0.003485
                      4.400000                   3490.282471                      0.998618                      4.393174                      0.001220                      0.000004                      0.003485
                      4.500000                   3487.261963                      0.998279                      4.493019                      0.001248                      0.000005                      0.003481
                      4.600000                   3491.541016                      0.998449                      4.592855                      0.001276                      0.000005                      0.003486
                      4.700000                   3492.967285                      0.998449                      4.692700                      0.001304                      0.000005                      0.003488
                      4.800000                   3498.169434                      0.998449                      4.792545                      0.001331                      0.000005                      0.003493
                      4.900000                   3496.239746                      0.998364                      4.892386                      0.001359                      0.000005                      0.003491
                      5.000000                   3499.344238                      0.998364                      4.992222                      0.001387                      0.000005                      0.003494
                      5.100000                   3502.029053                      0.998534                      5.092067                      0.001414                      0.000005                      0.003497
                      5.200000                   3509.580566                      0.998449                      5.191916                      0.001442                      0.000005                      0.003504
                      5.300000                   3569.321045                      0.998364                      5.291757                      0.001470                      0.000005                      0.003563
                      5.400000                   3626.964111                      0.998703                      5.391610                      0.001498                      0.000005                      0.003622
                      5.500000                   3530.556885                      0.998788                      5.491485                      0.001525                      0.000006                      0.003526
                      5.600000                   3612.532227                      0.998618                      5.591355                      0.001553                      0.000006                      0.003608
                      5.700000                   3488.184570                      0.998449                      5.691208                      0.001581                      0.000006                      0.003483
                      5.800000                   3484.912354                      0.998449                      5.791053                      0.001609                      0.000006                      0.003480
                      5.900000                   3488.268555                      0.998618                      5.890907                      0.001636                      0.000006                      0.003483
                      6.000000                   3488.688232                      0.998449                      5.990760                      0.001664                      0.000006                      0.003483
                      6.100000                   3499.344238                      0.998703                      6.090618                      0.001692                      0.000006                      0.003495
                      6.200000                   3498.840820                      0.998449                      6.190475                      0.001720                      0.000006                      0.003493
                      6.300000                   3512.181641                      0.998449                      6.290320                      0.001747                      0.000006                      0.003507
                      6.400000                   3501.777344                      0.998703                      6.390178                      0.001775                      0.000006                      0.003497
                      6.500000                   3500.770508                      0.998534                      6.490040                      0.001803                      0.000007                      0.003496
                      6.600000                   3497.917725                      0.998873                      6.589910                      0.001831                      0.000007                      0.003494
                      6.700000                   3489.275391                      0.998534                      6.689780                      0.001858                      0.000007                      0.003484
                      6.800000                   3472.578613                      0.998449                      6.789629                      0.001886                      0.000007                      0.003467
                      6.900000                   3481.891846                      0.998449                      6.889474                      0.001914                      0.000007                      0.003476
                      7.000000                   3470.396973                      0.998618                      6.989327                      0.001941                      0.000007                      0.003466
                      7.100000                   3494.645508                      0.998449                      7.089181                      0.001969                      0.000007                      0.003489
                      7.200000                   3478.116211                      0.998449                      7.189026                      0.001997                      0.000007                      0.003473
                      7.300000                   3474.592041                      0.998534                      7.288875                      0.002025                      0.000007                      0.003469
                      7.400000                   3472.997803                      0.998449                      7.388724                      0.002052                      0.000007                      0.003468
                      7.500000                   3487.177979                      0.998449                      7.488569                      0.002080                      0.000007                      0.003482
                      7.600000                   3480.885010                      0.998534                      7.588418                      0.002108                      0.000008                      0.003476
                      7.700000                   3489.611328                      0.998449                      7.688267                      0.002136                      0.000008                      0.003484
                      7.800000                   3467.124512                      0.998788                      7.788129                      0.002163                      0.000008                      0.003463
                      7.900000                   3470.648438                      0.998618                      7.888000                      0.002191                      0.000008                      0.003466
                      8.000000                   3466.201660                      0.998534                      7.987857                      0.002219                      0.000008                      0.003461
                      8.100000                   3463.768311                      0.998703                      8.087719                      0.002247                      0.000008                      0.003459
                      8.200000                   3456.887939                      0.998449                      8.187577                      0.002274                      0.000008                      0.003452
                      8.300000                   3456.300537                      0.998449                      8.287422                      0.002302                      0.000008                      0.003451
                      8.400000                   3453.783447                      0.998449                      8.387266                      0.002330                      0.000008                      0.003448
                      8.500000                   3482.227295                      0.998364                      8.487107                      0.002358                      0.000008                      0.003477
                      8.600000                   3444.553955                      0.998534                      8.586952                      0.002385                      0.000009                      0.003440
                      8.700000                   3450.762939                      0.998788                      8.686818                      0.002413                      0.000009                      0.003447
                      8.800000                   3451.350342                      0.998449                      8.786680                      0.002441                      0.000009                      0.003446
                      8.900000                   3460.580078                      0.998618                      8.886534                      0.002468                      0.000009                      0.003456
                      9.000000                   3455.629395                      0.998534                      8.986391                      0.002496                      0.000009                      0.003451
                      9.100000                   3370.885254                      0.998618                      9.086248                      0.002524                      0.000009                      0.003366
                      9.200000                   3357.040771                      0.998449                      9.186102                      0.002552                      0.000009                      0.003352
                      9.300000                   3358.802734                      0.998449                      9.285947                      0.002579                      0.000009                      0.003354
