                       Time(s)                        Zre(Ω)                        Zim(Ω)                          Z(Ω)                      Freq(Hz)                      Phase(°)                        EDC(V)
                      0.128000                   8836.014648                   4088.676270                   9736.140625                  10000.000000                    -24.831327                      0.000000
                      0.289142                   8947.045898                   3906.468262                   9762.690430                   7943.282227                    -23.587093                      0.000000
                      0.492009                   9445.424805                   4166.807129                  10323.678711                   6309.573242                    -23.804461                      0.000000
                      0.747402                  10144.289062                   4494.853516                  11095.508789                   5011.872070                    -23.897749                      0.000000
                      1.068924                  10604.609375                   4514.041992                  11525.376953                   3981.071533                    -23.057899                      0.000000
                      1.473696                  11142.434570                   4558.653809                  12038.902344                   3162.277588                    -22.250721                      0.000000
                      1.983273                  11883.416016                   4958.137695                  12876.284180                   2511.886230                    -22.647444                      0.000000
                      2.624793                  12497.970703                   5309.595215                  13579.067383                   1995.262329                    -23.017561                      0.000000
                      3.432418                  13203.150391                   5649.524414                  14361.069336                   1584.893188                    -23.165701                      0.000000
                      4.449158                  14128.726562                   6126.426270                  15399.805664                   1258.925293                    -23.442274                      0.000000
                      4.481158                  14911.369141                   6479.161133                  16258.181641                   1000.000000                    -23.485498                      0.000000
                      4.521444                  15656.686523                   6829.202637                  17081.271484                    794.328247                    -23.566080                      0.000000
                      4.572160                  16835.632812                   7643.918945                  18489.673828                    630.957336                    -24.419577                      0.000000
                      4.636009                  18222.216797                   8657.716797                  20174.371094                    501.187225                    -25.413269                      0.000000
                      4.716389                  22157.533203                  11829.420898                  25117.552734                    398.107178                    -28.096781                      0.000000
                      4.817582                  23357.978516                  11746.929688                  26145.468750                    316.227753                    -26.698219                      0.000000
                      4.944976                  24984.910156                  12806.191406                  28075.687500                    251.188629                    -27.137728                      0.000000
                      4.716389                  20656.267578                  10043.393555                  22968.482422                    398.107178                    -25.929729                      0.000000
                      4.817582                  23355.941406                  11758.861328                  26149.011719                    316.227753                    -26.723581                      0.000000
                      4.944976                  24946.281250                  12709.506836                  27997.294922                    251.188629                    -26.997705                      0.000000
                      5.105356                  25699.732422                  12844.353516                  28730.708984                    199.526230                    -26.555218                      0.000000
                      5.307262                  28007.763672                  13781.557617                  31214.837891                    158.489319                    -26.200048                      0.000000
                      5.561448                  32278.408203                  15294.345703                  35718.519531                    125.892532                    -25.352806                      0.000000
                      5.601448                  36631.953125                  16377.120117                  40126.175781                    100.000000                    -24.088081                      0.000000
                      5.651804                  36212.464844                  14175.981445                  38888.316406                     79.432823                    -21.378698                      0.000000
                      5.715200                  31005.900391                  10025.936523                  32586.580078                     63.095734                    -17.918913                      0.000000
                      5.795011                  27789.210938                   7751.479004                  28850.054688                     50.118721                    -15.585830                      0.000000
                      5.895486                  35634.070312                   9420.209961                  36858.207031                     39.810719                    -14.807939                      0.000000
                      6.021977                  42739.617188                  10889.406250                  44105.035156                     31.622778                    -14.293976                      0.000000
                      6.181220                  41334.429688                  12303.883789                  43126.796875                     25.118862                    -16.576517                      0.000000
                      6.381695                  44635.375000                  13761.085938                  46708.503906                     19.952623                    -17.134529                      0.000000
                      6.634078                  47430.500000                   9581.280273                  48388.566406                     15.848931                    -11.420444                      0.000000
                      6.951809                  47006.734375                   6501.482910                  47454.214844                     12.589253                     -7.874598                      0.000000
                      7.351809                  47260.820312                   5934.597168                  47631.968750                     10.000000                     -7.157238                      0.000000
                      7.855379                  51975.855469                    140.047073                  51976.042969                      7.943282                     -0.154381                      0.000000
                      8.489336                  58372.769531                   2538.466309                  58427.937500                      6.309573                     -2.490062                      0.000000
                      9.287441                  59285.113281                   8795.745117                  59934.046875                      5.011872                     -8.439040                      0.000000
                     10.292196                  55917.351562                   9934.631836                  56793.019531                      3.981072                    -10.074409                      0.000000
                     11.557107                  51669.527344                   1365.285522                  51687.562500                      3.162278                     -1.513598                      0.000000
                     13.149536                           nan                           nan                           nan                      2.511886                      2.248806                      0.000000
                     15.154285                           nan                           nan                           nan                      1.995262                      4.537589                      0.000000
                     17.678116                           nan                           nan                           nan                      1.584893                      1.901186                      0.000000
                     20.855431                           nan                           nan                           nan                      1.258925                    -14.520571                      0.000000
                     22.855431                           nan                           nan                           nan                      1.000000                    -21.347967                      0.000000
                     25.373281                           nan                           nan                           nan                      0.794328                    -16.286789                      0.000000
                     28.543070                  43693.843750                   2706.736816                  43777.601562                      0.630957                     -3.544817                      0.000000
                     32.533596                  34982.421875                  -4359.896973                  35253.062500                      0.501187                      7.104203                      0.000000
                     37.557373                  30128.955078                   -116.846642                  30129.181641                      0.398107                      0.222204                      0.000000
                     43.881924                  32771.234375                   6115.649902                  33336.992188                      0.316228                    -10.570740                      0.000000
                     51.844055                  18206.365234                  -7035.584961                  19518.482422                      0.251189                     21.128300                      0.000000
                     61.867813                  -1157.350342                  -5457.016602                   5578.395020                      0.199526                    101.974136                      0.000000
                     74.486984                  -7572.944336                  -5757.060547                   9512.792969                      0.158489                    142.757385                      0.000000
                     90.373489                  -6719.222656                 -12092.010742                  13833.461914                      0.125893                    119.059814                      0.000000
                    110.373489                   2759.366699                  -3812.787109                   4706.532715                      0.100000                     54.106220                      0.000000
