                       Time(s)                         E(mV)                         I(mA)
                      0.100000                      1.763577                     -0.029101
                      0.200000                      2.762724                     -0.028610
                      0.300000                      3.770268                     -0.028559
                      0.400000                      4.786208                     -0.028826
                      0.500000                      5.768563                     -0.028349
                      0.600000                      6.792899                     -0.028234
                      0.700000                      7.775254                     -0.028022
                      0.800000                      8.782798                     -0.028118
                      0.900000                      9.765153                     -0.028299
                      1.000000                     10.789489                     -0.028453
                      1.100000                     11.780240                     -0.028453
                      1.200000                     12.821369                     -0.028657
                      1.300000                     13.770139                     -0.028915
                      1.400000                     14.777682                     -0.028546
                      1.500000                     15.776831                     -0.029188
                      1.600000                     16.767582                     -0.028683
                      1.700000                     17.783520                     -0.028601
                      1.800000                     18.782669                     -0.028970
                      1.900000                     19.807005                     -0.028870
                      2.000000                     20.797756                     -0.028791
                      2.100000                     21.805300                     -0.028462
                      2.200000                     22.737278                     -0.028364
                      2.300000                     23.778406                     -0.028617
                      2.400000                     24.752365                     -0.028738
                      2.500000                     25.793493                     -0.029199
                      2.600000                     26.767452                     -0.028708
                      2.700000                     27.783392                     -0.028065
                      2.800000                     28.799332                     -0.027991
                      2.900000                     29.806875                     -0.028424
                      3.000000                     30.780836                     -0.028417
                      3.100000                     31.796772                     -0.028475
                      3.200000                     32.787525                     -0.028331
                      3.300000                     33.778278                     -0.028108
                      3.400000                     34.769028                     -0.028230
                      3.500000                     35.784969                     -0.027984
                      3.600000                     36.784115                     -0.027942
                      3.700000                     37.766468                     -0.028032
                      3.800000                     38.790806                     -0.028286
                      3.900000                     39.789955                     -0.028354
                      4.000000                     40.763912                     -0.028207
                      4.100000                     41.754665                     -0.028099
                      4.200000                     42.770603                     -0.028197
                      4.300000                     43.786545                     -0.028176
                      4.400000                     44.777294                     -0.028192
                      4.500000                     45.784836                     -0.028307
                      4.600000                     46.775589                     -0.028396
                      4.700000                     47.774738                     -0.028483
                      4.800000                     48.773884                     -0.028376
                      4.900000                     49.781429                     -0.028730
                      5.000000                     50.780575                     -0.029071
                      5.100000                     51.788116                     -0.029210
                      5.200000                     52.770473                     -0.028525
                      5.300000                     53.752831                     -0.028479
                      5.400000                     54.768772                     -0.029232
                      5.500000                     55.793106                     -0.029103
                      5.600000                     56.800652                     -0.029043
                      5.700000                     57.766212                     -0.029321
                      5.800000                     58.765362                     -0.029204
                      5.900000                     59.789696                     -0.029369
                      6.000000                     60.797237                     -0.029143
                      6.100000                     61.787991                     -0.028959
                      6.200000                     62.803932                     -0.028818
                      6.300000                     63.769493                     -0.029102
                      6.400000                     64.768639                     -0.029005
                      6.500000                     65.759392                     -0.028507
                      6.600000                     66.783730                     -0.029151
                      6.700000                     67.774475                     -0.028881
                      6.800000                     68.790421                     -0.028720
                      6.900000                     69.789566                     -0.028786
                      7.000000                     70.797112                     -0.028745
                      7.100000                     71.813049                     -0.028627
                      7.200000                     72.795403                     -0.028186
                      7.300000                     73.802956                     -0.028823
                      7.400000                     74.793701                     -0.028599
                      7.500000                     75.776054                     -0.028958
                      7.600000                     76.800392                     -0.029110
                      7.700000                     77.791145                     -0.029458
                      7.800000                     78.781891                     -0.029195
                      7.900000                     79.797829                     -0.029496
                      8.000000                     80.796974                     -0.029733
                      8.100000                     81.796127                     -0.029937
                      8.200000                     82.795273                     -0.029791
                      8.300000                     83.777634                     -0.029210
                      8.400000                     84.801971                     -0.029492
                      8.500000                     85.792717                     -0.029031
                      8.600000                     86.775070                     -0.029057
                      8.700000                     87.816200                     -0.029236
                      8.800000                     88.790161                     -0.028967
                      8.900000                     89.772514                     -0.029038
                      9.000000                     90.796852                     -0.028881
                      9.100000                     91.795998                     -0.029188
                      9.200000                     92.803543                     -0.029207
                      9.300000                     93.760704                     -0.029310
                      9.400000                     94.810234                     -0.029037
                      9.500000                     95.784195                     -0.029098
                      9.600000                     96.800133                     -0.029167
                      9.700000                     97.807678                     -0.029221
                      9.800000                     98.790031                     -0.029132
                      9.900000                     99.797577                     -0.028941
                     10.000000                    100.796722                     -0.029081
                     10.100000                    101.804268                     -0.029024
                     10.200000                    102.803413                     -0.028922
                     10.300000                    103.802567                     -0.028957
                     10.400000                    104.801712                     -0.028903
                     10.500000                    105.800858                     -0.029129
                     10.600000                    106.783211                     -0.029139
                     10.700000                    107.807549                     -0.029148
                     10.800000                    108.815094                     -0.029216
                     10.900000                    109.805840                     -0.028921
                     11.000000                    110.813385                     -0.028742
                     11.100000                    111.804138                     -0.028889
                     11.200000                    112.769699                     -0.028884
                     11.300000                    113.802429                     -0.028933
                     11.400000                    114.809982                     -0.028740
                     11.500000                    115.809128                     -0.028485
                     11.600000                    116.816666                     -0.029093
                     11.700000                    117.807419                     -0.028899
                     11.800000                    118.814964                     -0.029117
                     11.900000                    119.797318                     -0.029162
                     12.000000                    120.788063                     -0.029299
                     12.100000                    121.787216                     -0.029617
                     12.200000                    122.794762                     -0.029564
                     12.300000                    123.785507                     -0.029263
                     12.400000                    124.809845                     -0.028942
                     12.500000                    125.800598                     -0.029249
                     12.600000                    126.799744                     -0.029054
