                       Time(s)                         E(mV)                         I(mA)
                      0.100000                   1100.313599                      0.099854
                      0.200000                   1100.313599                      0.099846
                      0.300000                   1100.313599                      0.099829
                      0.400000                   1100.313599                      0.099829
                      0.500000                   1100.313599                      0.099821
                      0.600000                   1100.313599                      0.099829
                      0.700000                   1100.313599                      0.099846
                      0.800000                   1100.313599                      0.099812
                      0.900000                   1100.313599                      0.099812
                      1.000000                   1100.313599                      0.099829
                      1.100000                   1100.313599                      0.099812
                      1.200000                   1100.313599                      0.099804
                      1.300000                   1100.313599                      0.099796
                      1.400000                   1100.313599                      0.099804
                      1.500000                   1100.313599                      0.099804
                      1.600000                   1100.313599                      0.099787
                      1.700000                   1100.313599                      0.099796
                      1.800000                   1100.313599                      0.099796
                      1.900000                   1100.313599                      0.099787
                      2.000000                   1100.313599                      0.099821
                      2.100000                   1100.313599                      0.099821
                      2.200000                   1100.313599                      0.099812
                      2.300000                   1100.313599                      0.099829
                      2.400000                   1100.313599                      0.099829
                      2.500000                   1100.313599                      0.099838
                      2.600000                   1100.313599                      0.099854
                      2.700000                   1100.313599                      0.099863
                      2.800000                   1100.313599                      0.099854
                      2.900000                   1100.313599                      0.099846
                      3.000000                   1100.313599                      0.099863
                      3.100000                   1100.313599                      0.099871
                      3.200000                   1100.313599                      0.099879
                      3.300000                   1100.313599                      0.099888
                      3.400000                   1100.313599                      0.099896
                      3.500000                   1100.313599                      0.099913
                      3.600000                   1100.313599                      0.099930
                      3.700000                   1100.313599                      0.099938
                      3.800000                   1100.313599                      0.099930
                      3.900000                   1100.313599                      0.099947
                      4.000000                   1100.313599                      0.099963
                      4.100000                   1100.313599                      0.099947
                      4.200000                   1100.313599                      0.099980
                      4.300000                   1100.313599                      0.099997
                      4.400000                   1100.313599                      0.099972
                      4.500000                   1100.313599                      0.099947
                      4.600000                   1100.313599                      0.099947
                      4.700000                   1100.313599                      0.099955
                      4.800000                   1100.313599                      0.099955
                      4.900000                   1100.313599                      0.099989
                      5.000000                   1100.313599                      0.099997
                      5.100000                   1100.313599                      0.099980
                      5.200000                   1100.313599                      0.099989
                      5.300000                   1100.313599                      0.099963
                      5.400000                   1100.313599                      0.099980
                      5.500000                   1100.313599                      0.099989
                      5.600000                   1100.313599                      0.100005
                      5.700000                   1100.313599                      0.099963
                      5.800000                   1100.313599                      0.099980
                      5.900000                   1100.313599                      0.099980
                      6.000000                   1100.313599                      0.099980
                      6.100000                   1100.313599                      0.099972
                      6.200000                   1100.313599                      0.099997
                      6.300000                   1100.313599                      0.099972
                      6.400000                   1100.313599                      0.099955
                      6.500000                   1100.313599                      0.099972
                      6.600000                   1100.313599                      0.099963
                      6.700000                   1100.313599                      0.099980
                      6.800000                   1100.313599                      0.099963
                      6.900000                   1100.313599                      0.099955
                      7.000000                   1100.313599                      0.099989
                      7.100000                   1100.313599                      0.099989
                      7.200000                   1100.313599                      0.099980
                      7.300000                   1100.313599                      0.099980
                      7.400000                   1100.313599                      0.099980
                      7.500000                   1100.313599                      0.099963
                      7.600000                   1100.313599                      0.099980
                      7.700000                   1100.313599                      0.099955
                      7.800000                   1100.313599                      0.099980
                      7.900000                   1100.313599                      0.099963
                      8.000000                   1100.313599                      0.099989
                      8.100000                   1100.313599                      0.099980
                      8.200000                   1100.313599                      0.099989
                      8.300000                   1100.313599                      0.099989
                      8.400000                   1100.313599                      0.099972
                      8.500000                   1100.313599                      0.100005
                      8.600000                   1100.313599                      0.099980
                      8.700000                   1100.313599                      0.100005
                      8.800000                   1100.313599                      0.099997
