                       Time(s)                         E(mV)                         I(mA)                         Q(mC)                 Capacity(mAh)                    Energy(Wh)                          P(W)
                      0.100000                   2534.937500                      0.998110                      0.099811                      0.000028                      0.000000                      0.002530
                      0.200000                   2542.069580                      0.998534                      0.199643                      0.000055                      0.000000                      0.002538
                      0.300000                   2552.222168                      0.998449                      0.299492                      0.000083                      0.000000                      0.002548
                      0.400000                   2558.934570                      0.998618                      0.399346                      0.000111                      0.000000                      0.002555
                      0.500000                   2568.583740                      0.998279                      0.499190                      0.000139                      0.000000                      0.002564
                      0.600000                   2576.554688                      0.998364                      0.599023                      0.000166                      0.000000                      0.002572
                      0.700000                   2582.511963                      0.998279                      0.698855                      0.000194                      0.000000                      0.002578
                      0.800000                   2589.140381                      0.998534                      0.798695                      0.000222                      0.000001                      0.002585
                      0.900000                   2597.614990                      0.998449                      0.898545                      0.000250                      0.000001                      0.002594
                      1.000000                   2606.173096                      0.998703                      0.998402                      0.000277                      0.000001                      0.002603
                      1.100000                   2614.983398                      0.998534                      1.098264                      0.000305                      0.000001                      0.002611
                      1.200000                   2623.457764                      0.998364                      1.198109                      0.000333                      0.000001                      0.002619
                      1.300000                   2631.680420                      0.998618                      1.297958                      0.000361                      0.000001                      0.002628
                      1.400000                   2639.735107                      0.998364                      1.397807                      0.000388                      0.000001                      0.002635
                      1.500000                   2647.035156                      0.998364                      1.497643                      0.000416                      0.000001                      0.002643
                      1.600000                   2654.166748                      0.998364                      1.597480                      0.000444                      0.000001                      0.002650
                      1.700000                   2660.040283                      0.998364                      1.697316                      0.000471                      0.000001                      0.002656
                      1.800000                   2666.752686                      0.998618                      1.797165                      0.000499                      0.000001                      0.002663
                      1.900000                   2673.381104                      0.998364                      1.897014                      0.000527                      0.000001                      0.002669
                      2.000000                   2679.590088                      0.998449                      1.996855                      0.000555                      0.000001                      0.002675
                      2.100000                   2685.967041                      0.998279                      2.096691                      0.000582                      0.000002                      0.002681
                      2.200000                   2691.924316                      0.998703                      2.196541                      0.000610                      0.000002                      0.002688
                      2.300000                   2698.301025                      0.998703                      2.296411                      0.000638                      0.000002                      0.002695
                      2.400000                   2704.258301                      0.998618                      2.396277                      0.000666                      0.000002                      0.002701
                      2.500000                   2710.467285                      0.998449                      2.496130                      0.000693                      0.000002                      0.002706
                      2.600000                   2716.089111                      0.998534                      2.595979                      0.000721                      0.000002                      0.002712
                      2.700000                   2721.626709                      0.998449                      2.695828                      0.000749                      0.000002                      0.002717
                      2.800000                   2727.416016                      0.998364                      2.795669                      0.000777                      0.000002                      0.002723
                      2.900000                   2732.366699                      0.998279                      2.895501                      0.000804                      0.000002                      0.002728
                      3.000000                   2737.820557                      0.998364                      2.995333                      0.000832                      0.000002                      0.002733
                      3.100000                   2742.602783                      0.998194                      3.095161                      0.000860                      0.000002                      0.002738
                      3.200000                   2747.553467                      0.998618                      3.195002                      0.000888                      0.000002                      0.002744
                      3.300000                   2752.419922                      0.998279                      3.294847                      0.000915                      0.000002                      0.002748
                      3.400000                   2756.279541                      0.998534                      3.394687                      0.000943                      0.000003                      0.002752
                      3.500000                   2761.229980                      0.998279                      3.494528                      0.000971                      0.000003                      0.002756
                      3.600000                   2765.677002                      0.998534                      3.594369                      0.000998                      0.000003                      0.002762
                      3.700000                   2770.207764                      0.998364                      3.694214                      0.001026                      0.000003                      0.002766
                      3.800000                   2774.822754                      0.998618                      3.794063                      0.001054                      0.000003                      0.002771
                      3.900000                   2779.185791                      0.998449                      3.893916                      0.001082                      0.000003                      0.002775
                      4.000000                   2783.632568                      0.998279                      3.993752                      0.001109                      0.000003                      0.002779
                      4.100000                   2787.743896                      0.998364                      4.093585                      0.001137                      0.000003                      0.002783
                      4.200000                   2792.191162                      0.998449                      4.193426                      0.001165                      0.000003                      0.002788
                      4.300000                   2796.637939                      0.998279                      4.293262                      0.001193                      0.000003                      0.002792
                      4.400000                   2800.497559                      0.998449                      4.393098                      0.001220                      0.000003                      0.002796
                      4.500000                   2804.608887                      0.998618                      4.492952                      0.001248                      0.000003                      0.002801
                      4.600000                   2808.804199                      0.998364                      4.592801                      0.001276                      0.000003                      0.002804
                      4.700000                   2812.747559                      0.998449                      4.692641                      0.001304                      0.000004                      0.002808
                      4.800000                   2817.278564                      0.998618                      4.792495                      0.001331                      0.000004                      0.002813
                      4.900000                   2821.306152                      0.998534                      4.892353                      0.001359                      0.000004                      0.002817
                      5.000000                   2824.914062                      0.998534                      4.992206                      0.001387                      0.000004                      0.002821
                      5.100000                   2828.521973                      0.998788                      5.092072                      0.001414                      0.000004                      0.002825
                      5.200000                   2832.381592                      0.998364                      5.191929                      0.001442                      0.000004                      0.002828
                      5.300000                   2835.989502                      0.998534                      5.291774                      0.001470                      0.000004                      0.002832
                      5.400000                   2839.681396                      0.998703                      5.391636                      0.001498                      0.000004                      0.002836
                      5.500000                   2843.037598                      0.998364                      5.491489                      0.001525                      0.000004                      0.002838
                      5.600000                   2846.813232                      0.998449                      5.591330                      0.001553                      0.000004                      0.002842
                      5.700000                   2850.505127                      0.998618                      5.691184                      0.001581                      0.000004                      0.002847
                      5.800000                   2853.861572                      0.998618                      5.791045                      0.001609                      0.000004                      0.002850
                      5.900000                   2857.301514                      0.998703                      5.890912                      0.001636                      0.000004                      0.002854
                      6.000000                   2861.160889                      0.998279                      5.990760                      0.001664                      0.000005                      0.002856
                      6.100000                   2864.517334                      0.998449                      6.090597                      0.001692                      0.000005                      0.002860
                      6.200000                   2868.208984                      0.998449                      6.190442                      0.001720                      0.000005                      0.002864
                      6.300000                   2871.565430                      0.998279                      6.290278                      0.001747                      0.000005                      0.002867
                      6.400000                   2874.837646                      0.998534                      6.390119                      0.001775                      0.000005                      0.002871
                      6.500000                   2878.361572                      0.998194                      6.489955                      0.001803                      0.000005                      0.002873
                      6.600000                   2881.718018                      0.998534                      6.589792                      0.001830                      0.000005                      0.002877
                      6.700000                   2884.990234                      0.998534                      6.689645                      0.001858                      0.000005                      0.002881
                      6.800000                   2888.262451                      0.998534                      6.789498                      0.001886                      0.000005                      0.002884
                      6.900000                   2891.367188                      0.998618                      6.889356                      0.001914                      0.000005                      0.002887
                      7.000000                   2894.723145                      0.998618                      6.989218                      0.001941                      0.000005                      0.002891
                      7.100000                   2897.911621                      0.998364                      7.089067                      0.001969                      0.000005                      0.002893
                      7.200000                   2901.183838                      0.998534                      7.188912                      0.001997                      0.000005                      0.002897
                      7.300000                   2904.456055                      0.998449                      7.288761                      0.002025                      0.000006                      0.002900
                      7.400000                   2907.812500                      0.998279                      7.388597                      0.002052                      0.000006                      0.002903
                      7.500000                   2910.665039                      0.998364                      7.488430                      0.002080                      0.000006                      0.002906
                      7.600000                   2913.937500                      0.998364                      7.588266                      0.002108                      0.000006                      0.002909
                      7.700000                   2917.293701                      0.998534                      7.688111                      0.002136                      0.000006                      0.002913
                      7.800000                   2920.314209                      0.998618                      7.787968                      0.002163                      0.000006                      0.002916
                      7.900000                   2923.418945                      0.998364                      7.887817                      0.002191                      0.000006                      0.002919
                      8.000000                   2926.607178                      0.998279                      7.987649                      0.002219                      0.000006                      0.002922
                      8.100000                   2929.711670                      0.998534                      8.087490                      0.002247                      0.000006                      0.002925
                      8.200000                   2932.396484                      0.998449                      8.187339                      0.002274                      0.000006                      0.002928
                      8.300000                   2935.752930                      0.998194                      8.287171                      0.002302                      0.000006                      0.002930
                      8.400000                   2938.605713                      0.998110                      8.386986                      0.002330                      0.000006                      0.002933
                      8.500000                   2941.877930                      0.998364                      8.486810                      0.002357                      0.000007                      0.002937
                      8.600000                   2944.143311                      0.998364                      8.586646                      0.002385                      0.000007                      0.002939
                      8.700000                   2947.080078                      0.998449                      8.686487                      0.002413                      0.000007                      0.002943
                      8.800000                   2949.932617                      0.998534                      8.786336                      0.002441                      0.000007                      0.002946
                      8.900000                   2952.785645                      0.998279                      8.886177                      0.002468                      0.000007                      0.002948
                      9.000000                   2955.470459                      0.998703                      8.986026                      0.002496                      0.000007                      0.002952
                      9.100000                   2958.239502                      0.998534                      9.085888                      0.002524                      0.000007                      0.002954
                      9.200000                   2960.924561                      0.998534                      9.185741                      0.002552                      0.000007                      0.002957
                      9.300000                   2964.364502                      0.998449                      9.285590                      0.002579                      0.000007                      0.002960
                      9.400000                   2966.881592                      0.998364                      9.385430                      0.002607                      0.000007                      0.002962
                      9.500000                   2969.650635                      0.998279                      9.485263                      0.002635                      0.000007                      0.002965
                      9.600000                   2972.922852                      0.998364                      9.585095                      0.002663                      0.000007                      0.002968
                      9.700000                   2975.355957                      0.998534                      9.684940                      0.002690                      0.000008                      0.002971
                      9.800000                   2978.208740                      0.998449                      9.784789                      0.002718                      0.000008                      0.002974
