Time(s)                       Zre(Ω)                       Zim(Ω)                       Z(Ω)                         Freq(Hz)                      Phase(°)                     EDC(mV)                       CS(F)                         
1                             1.02514                       0.02893158                    1.025548                      10                            1.616577                      0.1715449                     -0.550108
2                             1.025138                      0.02873193                    1.02554                       10                            1.605431                      0.1715449                     -0.5539305
3                             1.025052                      0.02878635                    1.025456                      10                            1.608604                      0.1715449                     -0.5528834
4                             1.0251                        0.02888619                    1.025507                      10                            1.614105                      0.1715449                     -0.5509724
5                             1.025112                      0.02880089                    1.025517                      10                            1.609322                      0.1715449                     -0.5526043
6                             1.02514                       0.02892707                    1.025548                      10                            1.616325                      0.1715449                     -0.5501938
7                             1.024994                      0.02875742                    1.025398                      10                            1.607079                      0.1715449                     -0.5534397
8                             1.025211                      0.02875243                    1.025614                      10                            1.606461                      0.1715449                     -0.5535356
9                             1.025185                      0.02872588                    1.025588                      10                            1.605019                      0.1715449                     -0.5540472
10                            1.025092                      0.02862902                    1.025492                      10                            1.599754                      0.1715449                     -0.5559218
