Time(s)                       Zre(Ω)                       Zim(Ω)                       Z(Ω)                         Freq(Hz)                      Phase(°)                     EDC(V)
0.128                         7.668051                      -0.2653618                    7.672641                      10000                         1.981996                      0.0001010079
0.2891425                     7.674578                      -0.3414988                    7.682172                      7943.282                      2.547833                      0.0001010079
0.4920088                     7.621891                      -0.4342472                    7.634251                      6309.573                      3.260827                      0.0001010079
0.7474024                     7.501608                      -0.5474336                    7.521556                      5011.872                      4.173789                      0.0001010079
1.068924                      7.198114                      -0.6653759                    7.228802                      3981.072                      5.281272                      0.0001010079
1.473696                      6.720714                      -0.7760457                    6.765371                      3162.278                      6.586814                      0.0001010079
1.983273                      6.154877                      -0.8909454                    6.219027                      2511.886                      8.236604                      0.0001010079
2.624793                      5.585813                      -1.008179                     5.676066                      1995.262                      10.23112                      0.0001010079
3.432418                      5.077997                      -1.128305                     5.201839                      1584.893                      12.52731                      0.0001010079
4.449158                      4.612563                      -1.242499                     4.77698                       1258.925                      15.07608                      0.0001010079
4.481158                      4.165878                      -1.335226                     4.374628                      1000                          17.77142                      0.0001010079
4.521444                      3.725449                      -1.377507                     3.971963                      794.3282                      20.29217                      0.0001010079
4.57216                       3.282611                      -1.356216                     3.55174                       630.9573                      22.44804                      0.0001010079
4.636009                      2.860088                      -1.271876                     3.130139                      501.1872                      23.97464                      0.0001010079
4.716389                      2.476047                      -1.117674                     2.716616                      398.1072                      24.29417                      0.0001010079
4.817582                      2.14055                       -0.9455904                    2.340106                      316.2278                      23.83349                      0.0001010079
4.944976                      1.862127                      -0.7758365                    2.017285                      251.1886                      22.61856                      0.0001010079
5.105356                      1.636429                      -0.6155614                    1.748376                      199.5262                      20.61436                      0.0001010079
5.307262                      1.460406                      -0.4827122                    1.538114                      158.4893                      18.29042                      0.0001010079
5.561448                      1.326235                      -0.3773203                    1.378865                      125.8925                      15.88131                      0.0001010079
5.601448                      1.228169                      -0.2944923                    1.262982                      100                           13.4839                       0.0001010079
5.651804                      1.15888                       -0.2316366                    1.181803                      79.43282                      11.30331                      0.0001010079
5.7152                        1.110728                      -0.184518                     1.12595                       63.09573                      9.432037                      0.0001010079
5.795011                      1.078762                      -0.1464372                    1.088656                      50.11872                      7.730398                      0.0001010079
5.895486                      1.058156                      -0.1152074                    1.064409                      39.81072                      6.213642                      0.0001010079
6.021977                      1.045418                      -0.09041402                   1.049321                      31.62278                      4.942982                      0.0001010079
6.18122                       1.036619                      -0.07196715                   1.039114                      25.11886                      3.971382                      0.0001010079
6.381695                      1.03061                       -0.05808997                   1.032246                      19.95262                      3.226042                      0.0001010079
6.634078                      1.02703                       -0.04622981                   1.028069                      15.84893                      2.577322                      0.0001010079
6.951809                      1.025029                      -0.03636472                   1.025674                      12.58925                      2.031818                      0.0001010079
7.351809                      1.023527                      -0.02888585                   1.023934                      10                            1.616565                      0.0001010079
7.855379                      1.022554                      -0.02309406                   1.022815                      7.943282                      1.293787                      0.0001010079
8.489336                      1.022092                      -0.01823156                   1.022255                      6.309573                      1.021905                      0.0001010079
9.287441                      1.021689                      -0.01455712                   1.021793                      5.011872                      0.8163005                     0.0001010079
10.2922                       1.0214                        -0.01158468                   1.021465                      3.981072                      0.6498189                     0.0001010079
11.55711                      1.02128                       -0.009169563                  1.021321                      3.162278                      0.5144165                     0.0001010079
13.14954                      1.0212                        -0.007266038                  1.021226                      2.511886                      0.4076638                     0.0001010079
15.15429                      1.021132                      -0.00581419                   1.021148                      1.995262                      0.3262311                     0.0001010079
17.67812                      1.021089                      -0.004683383                  1.0211                        1.584893                      0.262794                      0.0001010079
20.85543                      1.021041                      -0.003736202                  1.021047                      1.258925                      0.2096564                     0.0001010079
22.85543                      1.020991                      -0.002964966                  1.020995                      1                             0.1663869                     0.0001010079
25.37328                      1.020977                      -0.002372889                  1.02098                       0.794328                      0.1331629                     0.0001010079
28.54307                      1.02098                       -0.001928284                  1.020981                      0.630957                      0.1082122                     0.0001010079
32.5336                       1.020973                      -0.001538861                  1.020975                      0.501187                      0.08635896                    0.0001010079
37.55737                      1.020945                      -0.001251252                  1.020946                      0.398107                      0.07022063                    0.0001010079
43.88192                      1.02089                       -0.001064528                  1.020891                      0.316228                      0.05974483                    0.0001010079
51.84406                      1.020841                      -0.0008147156                 1.020842                      0.251189                      0.04572675                    0.0001010079
61.86781                      1.020869                      -0.000623221                  1.020869                      0.199526                      0.03497798                    0.0001010079
74.48698                      1.020874                      -0.0004956469                 1.020874                      0.158489                      0.0278178                     0.0001010079
90.37349                      1.020828                      -0.0003861885                 1.020828                      0.125893                      0.02167551                    0.0001010079
110.3735                      1.020762                      -0.0003181593                 1.020762                      0.1                           0.01785841                    0.0001010079
