Time(s)                       E(mV)                         I(mA)                         Q(mC)                         Capacity(mAh)                 Energy(Wh)                    P(W)
0.1                           1054.532                      1.003892                      0.1003892                     2.788588E-05                  2.940656E-08                  0.001058636
0.2                           1082.8                        1.00364                       0.2007658                     5.576827E-05                  5.920347E-08                  0.001086741
0.3                           1094.376                      1.003892                      0.3011424                     8.365066E-05                  8.955593E-08                  0.001098635
0.4                           1099.241                      1.003892                      0.4015315                     0.0001115365                  1.201414E-07                  0.001103519
0.5                           1102.009                      1.00364                       0.5019081                     0.0001394189                  1.508294E-07                  0.00110602
0.6                           1102.512                      1.003808                      0.6022805                     0.0001673001                  1.815618E-07                  0.00110671
0.7                           1103.351                      1.00322                       0.702632                      0.0001951755                  2.123064E-07                  0.001106904
0.8                           1103.687                      1.00364                       0.8029749                     0.0002230486                  2.430649E-07                  0.001107704
0.9                           1103.351                      1.003808                      0.9033473                     0.0002509298                  2.738323E-07                  0.001107553
1                             1103.603                      1.003388                      1.003707                      0.0002788075                  3.045948E-07                  0.001107342
1.1                           1103.687                      1.003724                      1.104063                      0.0003066841                  3.353606E-07                  0.001107797
1.2                           1103.938                      1.003388                      1.204418                      0.0003345607                  3.661311E-07                  0.001107679
1.3                           1103.854                      1.003136                      1.304744                      0.000362429                   3.968949E-07                  0.001107316
1.4                           1103.519                      1.003724                      1.405088                      0.0003903021                  4.27658E-07                   0.001107628
1.5                           1104.106                      1.003724                      1.50546                       0.0004181833                  4.584337E-07                  0.001108218
1.6                           1103.854                      1.003472                      1.60582                       0.000446061                   4.892101E-07                  0.001107687
1.7                           1103.687                      1.003556                      1.706171                      0.0004739365                  5.199781E-07                  0.001107611
1.8                           1104.106                      1.003304                      1.806514                      0.0005018095                  5.507471E-07                  0.001107754
1.9                           1104.358                      1.003388                      1.906849                      0.0005296802                  5.815228E-07                  0.001108099
2                             1104.022                      1.003892                      2.007213                      0.0005575591                  6.123065E-07                  0.001108319
2.1                           1104.19                       1.003388                      2.107577                      0.000585438                   6.430877E-07                  0.001107931
2.2                           1104.358                      1.003388                      2.207916                      0.00061331                    6.738659E-07                  0.001108099
2.3                           1104.274                      1.003472                      2.308259                      0.000641183                   7.046465E-07                  0.001108108
2.4                           1104.358                      1.00364                       2.408614                      0.0006690596                  7.354311E-07                  0.001108377
2.5                           1103.938                      1.003052                      2.508949                      0.0006969303                  7.662044E-07                  0.001107308
2.6                           1104.19                       1.003388                      2.609271                      0.0007247975                  7.969717E-07                  0.001107931
2.7                           1104.106                      1.003556                      2.709618                      0.0007526717                  8.27749E-07                   0.001108032
2.8                           1104.358                      1.003724                      2.809982                      0.0007805506                  8.585337E-07                  0.00110847
2.9                           1104.19                       1.003556                      2.910346                      0.0008084295                  8.893197E-07                  0.001108117
3                             1104.106                      1.003304                      3.010689                      0.0008363026                  9.200956E-07                  0.001107754
3.1                           1104.442                      1.003388                      3.111024                      0.0008641733                  9.508725E-07                  0.001108184
3.2                           1104.19                       1.003556                      3.211371                      0.0008920475                  9.816545E-07                  0.001108117
3.3                           1104.106                      1.003556                      3.311727                      0.0009199241                  1.012434E-06                  0.001108032
3.4                           1104.358                      1.003388                      3.412074                      0.0009477983                  1.043214E-06                  0.001108099
3.5                           1104.106                      1.003472                      3.512417                      0.0009756713                  1.073992E-06                  0.00110794
3.6                           1104.19                       1.003388                      3.61276                       0.001003544                   1.104768E-06                  0.001107931
3.7                           1104.274                      1.00364                       3.713111                      0.00103142                    1.135549E-06                  0.001108293
3.8                           1104.274                      1.003052                      3.813446                      0.00105929                    1.166326E-06                  0.001107644
3.9                           1104.106                      1.003472                      3.913772                      0.001087159                   1.197098E-06                  0.00110794
4                             1103.771                      1.00364                       4.014128                      0.001115035                   1.227872E-06                  0.001107788
4.1                           1104.274                      1.003304                      4.114475                      0.00114291                    1.258646E-06                  0.001107923
4.2                           1104.274                      1.003808                      4.21483                       0.001170786                   1.289429E-06                  0.001108479
4.3                           1104.442                      1.003388                      4.31519                       0.001198664                   1.320216E-06                  0.001108184
4.4                           1104.358                      1.00364                       4.415542                      0.001226539                   1.351002E-06                  0.001108377
4.5                           1104.442                      1.003472                      4.515897                      0.001254416                   1.381788E-06                  0.001108276
4.6                           1104.022                      1.003892                      4.616265                      0.001282296                   1.412575E-06                  0.001108319
4.7                           1104.442                      1.00364                       4.716642                      0.001310178                   1.443363E-06                  0.001108462
4.8                           1104.106                      1.003556                      4.817002                      0.001338056                   1.474148E-06                  0.001108032
4.9                           1103.938                      1.004144                      4.917387                      0.001365941                   1.504933E-06                  0.001108513
5                             1104.358                      1.00406                       5.017797                      0.001393832                   1.53573E-06                   0.001108841
5.1                           1104.442                      1.003724                      5.118186                      0.001421718                   1.566527E-06                  0.001108554
