Time(s)                       Zre(Ω)                       Zim(Ω)                       Z(Ω)                         Freq(Hz)                      Phase(°)                     EDC(V)
0.128                         100.3285                      2.220738                      100.3531                      10000                         -1.268016                     -0.0009324342
0.2891425                     100.3395                      1.844876                      100.3565                      7943.282                      -1.053341                     -0.0009324342
0.4920088                     100.3476                      1.567739                      100.3598                      6309.573                      -0.8950642                    -0.0009324342
0.7474024                     100.354                       1.378676                      100.3635                      5011.872                      -0.7870873                    -0.0009324342
1.068924                      100.3598                      1.253847                      100.3677                      3981.072                      -0.7157881                    -0.0009324342
1.473696                      100.3645                      1.192029                      100.3716                      3162.278                      -0.6804702                    -0.0009324342
1.983273                      100.3651                      1.204818                      100.3724                      2511.886                      -0.6877658                    -0.0009324342
2.624793                      100.3702                      1.267433                      100.3782                      1995.262                      -0.7234685                    -0.0009324342
3.432418                      100.3795                      1.398237                      100.3892                      1584.893                      -0.7980504                    -0.0009324342
4.449158                      100.385                       1.622417                      100.3981                      1258.925                      -0.9259307                    -0.0009324342
4.481158                      100.3951                      1.921099                      100.4135                      1000                          -1.096243                     -0.0009324342
4.521444                      100.4143                      2.307928                      100.4409                      794.3282                      -1.316657                     -0.0009324342
4.57216                       100.4357                      2.824535                      100.4754                      630.9573                      -1.610895                     -0.0009324342
4.636009                      100.4421                      3.489524                      100.5027                      501.1872                      -1.989749                     -0.0009324342
4.716389                      100.4835                      4.328598                      100.5766                      398.1072                      -2.466646                     -0.0009324342
4.817582                      100.5469                      5.383214                      100.6909                      316.2278                      -3.064651                     -0.0009324342
4.944976                      100.6076                      6.724159                      100.832                       251.1886                      -3.823705                     -0.0009324342
5.105356                      100.7172                      8.41569                       101.0682                      199.5262                      -4.776404                     -0.0009324342
5.307262                      100.8754                      10.51013                      101.4214                      158.4893                      -5.948143                     -0.0009324342
5.561448                      101.0595                      13.15189                      101.9117                      125.8925                      -7.414807                     -0.0009324342
5.601448                      101.2282                      16.46267                      102.5581                      100                           -9.237106                     -0.0009324342
5.651804                      101.905                       20.5141                       103.9493                      79.43282                      -11.38187                     -0.0009324342
5.7152                        102.8532                      25.607                        105.9929                      63.09573                      -13.9805                      -0.0009324342
5.795011                      103.3267                      32.03644                      108.1792                      50.11872                      -17.22605                     -0.0009324342
5.895486                      104.66                        40.00592                      112.0455                      39.81072                      -20.91919                     -0.0009324342
6.021977                      107.4928                      49.92556                      118.5212                      31.62278                      -24.91274                     -0.0009324342
6.18122                       111.0874                      62.05588                      127.2452                      25.11886                      -29.18869                     -0.0009324342
6.381695                      114.0439                      77.11584                      137.6694                      19.95262                      -34.06634                     -0.0009324342
6.634078                      116.9737                      95.96115                      151.299                       15.84893                      -39.36427                     -0.0009324342
6.951809                      123.1747                      119.1158                      171.3493                      12.58925                      -44.04027                     -0.0009324342
7.351809                      132.3327                      147.2592                      197.9828                      10                            -48.05593                     -0.0009324342
7.855379                      145.9195                      181.2475                      232.6868                      7.943282                      -51.16301                     -0.0009324342
8.489336                      163.6734                      222.359                       276.1023                      6.309573                      -53.64406                     -0.0009324342
9.287441                      190.8366                      269.7793                      330.4534                      5.011872                      -54.72516                     -0.0009324342
10.2922                       231.9624                      322.5613                      397.3064                      3.981072                      -54.27908                     -0.0009324342
11.55711                      288.2481                      377.7293                      475.1488                      3.162278                      -52.65248                     -0.0009324342
13.14954                      364.2639                      428.9483                      562.7476                      2.511886                      -49.662                       -0.0009324342
15.15429                      458.739                       469.2517                      656.2307                      1.995262                      -45.64904                     -0.0009324342
17.67812                      565.3452                      489.3199                      747.6959                      1.584893                      -40.87698                     -0.0009324342
20.85543                      662.2567                      475.3228                      815.1783                      1.258925                      -35.66821                     -0.0009324342
22.85543                      731.5261                      429.6282                      848.3577                      1                             -30.42589                     -0.0009324342
25.37328                      782.3489                      372.1194                      866.3387                      0.794328                      -25.43781                     -0.0009324342
28.54307                      820.3403                      314.2797                      878.4816                      0.630957                      -20.96229                     -0.0009324342
32.5336                       846.5439                      259.9441                      885.5549                      0.501187                      -17.06989                     -0.0009324342
37.55737                      864.3902                      212.3193                      890.0842                      0.398107                      -13.80029                     -0.0009324342
43.88192                      876.2336                      171.8138                      892.9196                      0.316228                      -11.09393                     -0.0009324342
51.84406                      884.0554                      138.2483                      894.7997                      0.251189                      -8.887912                     -0.0009324342
61.86781                      889.0964                      110.7634                      895.9692                      0.199526                      -7.101309                     -0.0009324342
74.48698                      892.3189                      88.51797                      896.6987                      0.158489                      -5.665203                     -0.0009324342
90.37349                      894.3464                      70.67822                      897.1348                      0.125893                      -4.518568                     -0.0009324342
110.3735                      895.6778                      56.32164                      897.4468                      0.1                           -3.598112                     -0.0009324342
