Time(s)                       E(mV)                         I(mA)                         
0.1                           109.5268                      0.1003549                     
0.2                           109.5268                      0.1003884                     
0.3                           109.7785                      0.1003465                     
0.4                           109.6107                      0.1003465                     
0.5                           109.3591                      0.1003381                     
0.6                           109.5268                      0.1003297                     
0.7                           109.6107                      0.10038                       
0.8                           109.1913                      0.10038                       
0.9                           109.6107                      0.1003465                     
1                             109.5268                      0.1003884                     
1.1                           109.443                       0.10038                       
1.2                           109.7785                      0.1004136                     
1.3                           109.6107                      0.1003381                     
1.4                           109.5268                      0.1003381                     
1.5                           109.1913                      0.1003381                     
1.6                           109.1074                      0.1003633                     
1.7                           109.5268                      0.1003633                     
1.8                           109.5268                      0.1003549                     
1.9                           109.443                       0.1003381                     
2                             109.7785                      0.1003297                     
2.1                           109.8624                      0.1003633                     
2.2                           109.443                       0.1003213                     
2.3                           109.9463                      0.1003213                     
2.4                           109.5268                      0.1003213                     
2.5                           110.2818                      0.1003716                     
2.6                           109.2752                      0.1003633                     
2.7                           109.6946                      0.1003381                     
2.8                           109.8624                      0.1003129                     
2.9                           109.5268                      0.1003297                     
3                             109.6946                      0.1003716                     
3.1                           109.443                       0.1003633                     
3.2                           109.8624                      0.1003297                     
3.3                           109.6107                      0.1003633                     
3.4                           110.0301                      0.1003549                     
3.5                           109.5268                      0.1003633                     
3.6                           109.3591                      0.1003465                     
3.7                           109.443                       0.1003633                     
3.8                           109.9463                      0.1003549                     
3.9                           109.443                       0.1003549                     
4                             109.5268                      0.1003884                     
4.1                           109.3591                      0.1003381                     
4.2                           109.5268                      0.1003633                     
4.3                           109.6107                      0.1003716                     
4.4                           109.5268                      0.1003884                     
4.5                           109.443                       0.1003465                     
4.6                           109.6946                      0.1004052                     
4.7                           109.7785                      0.1003716                     
4.8                           109.2752                      0.1003716                     
4.9                           109.8624                      0.1003465                     
5                             109.7785                      0.1003297                     
5.1                           109.3591                      0.1003633                     
5.2                           109.5268                      0.1003549                     
5.3                           109.1913                      0.10038                       
5.4                           109.6946                      0.1003968                     
5.5                           109.7785                      0.1003633                     
5.6                           109.6107                      0.1003633                     
5.7                           109.7785                      0.1003884                     
5.8                           109.6946                      0.1003465                     
5.9                           109.7785                      0.1003129                     
6                             109.8624                      0.1003884                     
6.1                           109.6107                      0.1003465                     
6.2                           109.6946                      0.1003129                     
6.3                           109.6946                      0.1003381                     
6.4                           109.2752                      0.1003381                     
6.5                           109.6946                      0.10038                       
6.6                           109.6107                      0.1003549                     
6.7                           109.1913                      0.1003297                     
6.8                           109.6946                      0.1003633                     
6.9                           109.2752                      0.1003716                     
7                             109.2752                      0.1003633                     
7.1                           109.5268                      0.1003465                     
7.2                           109.3591                      0.1003716                     
7.3                           109.3591                      0.1003381                     
7.4                           109.443                       0.1003549                     
7.5                           109.3591                      0.1003633                     
7.6                           109.8624                      0.1003968                     
7.7                           109.5268                      0.1003884                     
7.8                           109.7785                      0.1003465                     
7.9                           109.3591                      0.1003716                     
8                             109.443                       0.1003549                     
8.1                           110.0301                      0.1003465                     
8.2                           109.8624                      0.10038                       
8.3                           110.114                       0.10038                       
8.4                           109.6107                      0.1003297                     
8.5                           109.8624                      0.1003381                     
8.6                           109.443                       0.1003716                     
8.7                           109.6946                      0.1003213                     
8.8                           109.7785                      0.1003213                     
8.9                           109.5268                      0.10038                       
9                             109.1913                      0.10038                       
9.1                           109.3591                      0.1003884                     
9.2                           109.5268                      0.1003465                     
9.3                           109.3591                      0.10038                       
9.4                           109.6946                      0.1004052                     
9.5                           109.1913                      0.1003633                     
9.6                           109.6946                      0.1003884                     
9.7                           109.9463                      0.1003716                     
9.8                           109.6107                      0.10038                       
9.9                           109.6107                      0.1003633                     
10                            109.5268                      0.1003549                     
