Time(s)                       E(mV)                         I(mA)                         
0.5                           99.25115                      0.09064325                    
1                             99.27631                      0.09064325                    
1.5                           99.28471                      0.09066002                    
2                             99.27631                      0.09065163                    
2.5                           99.32666                      0.09066002                    
3                             99.26793                      0.09057616                    
3.5                           99.29311                      0.09064325                    
4                             99.30149                      0.09065163                    
4.5                           99.25115                      0.09061809                    
5                             99.29311                      0.09064325                    
5.5                           99.28471                      0.0906097                     
6                             99.29311                      0.09067679                    
6.5                           99.25954                      0.0906684                     
7                             99.28471                      0.09065163                    
7.5                           99.29311                      0.09062647                    
8                             99.30149                      0.0906097                     
8.5                           99.27631                      0.09065163                    
9                             99.26793                      0.09061809                    
9.5                           99.29311                      0.09063486                    
10                            99.28471                      0.09063486                    
10.5                          99.28471                      0.09065163                    
11                            99.25954                      0.09064325                    
11.5                          99.27631                      0.09063486                    
12                            99.25115                      0.09063486                    
12.5                          99.25115                      0.09065163                    
13                            99.26793                      0.0906097                     
