Time(s)                       E(mV)                         I(mA)                         
0.01                          -1000.053                     -0.8964956                    
0.02                          -997.537                      -0.8909552                    
0.03                          -995.6077                     -0.8870936                    
0.04                          -993.5107                     -0.8846591                    
0.05                          -991.7492                     -0.8828963                    
0.06                          -989.5682                     -0.8803778                    
0.07                          -987.3035                     -0.8786989                    
0.08                          -985.6259                     -0.8771039                    
0.09                          -983.5289                     -0.8747534                    
0.1                           -981.5995                     -0.8735781                    
0.11                          -979.5025                     -0.8710598                    
0.12                          -977.5732                     -0.8692129                    
0.13                          -975.644                      -0.8678698                    
0.14                          -973.8825                     -0.8653514                    
0.15                          -971.5338                     -0.8636724                    
0.16                          -969.6046                     -0.8616577                    
0.17                          -967.843                      -0.8602306                    
0.18                          -965.8298                     -0.8578801                    
0.19                          -963.9006                     -0.8568728                    
0.2                           -961.6358                     -0.8543543                    
0.21                          -959.455                      -0.8526754                    
0.22                          -957.1901                     -0.8508286                    
0.23                          -955.5125                     -0.8489817                    
0.24                          -953.4993                     -0.8472188                    
0.25                          -951.9056                     -0.845456                     
0.26                          -949.9763                     -0.8433573                    
0.27                          -947.6276                     -0.8418463                    
0.28                          -945.4468                     -0.8403352                    
0.29                          -943.6014                     -0.8384044                    
0.3                           -941.756                      -0.8360539                    
0.31                          -939.7429                     -0.8350466                    
0.32                          -937.8136                     -0.8325282                    
0.33                          -935.6326                     -0.8304295                    
0.34                          -933.7034                     -0.8286666                    
0.35                          -931.3547                     -0.8277432                    
0.36                          -929.4255                     -0.8252248                    
0.37                          -927.4962                     -0.823294                     
0.38                          -925.9863                     -0.8216151                    
0.39                          -923.5538                     -0.8200201                    
0.4                           -921.7084                     -0.8173338                    
0.41                          -919.6114                     -0.8163265                    
0.42                          -917.5982                     -0.8148154                    
0.43                          -915.9206                     -0.8125489                    
0.44                          -913.488                      -0.810618                     
0.45                          -911.8943                     -0.8087713                    
0.46                          -909.7972                     -0.8070923                    
0.47                          -907.6164                     -0.8058331                    
0.48                          -905.3516                     -0.8034825                    
0.49                          -903.2546                     -0.8013839                    
0.5                           -901.0736                     -0.7995371                    
0.51                          -899.7315                     -0.7981939                    
0.52                          -897.4667                     -0.7962632                    
0.53                          -895.5375                     -0.7944163                    
0.54                          -893.7759                     -0.7924016                    
0.55                          -891.4272                     -0.7904708                    
0.56                          -889.7497                     -0.7885401                    
0.57                          -887.4849                     -0.7866932                    
0.58                          -885.8912                     -0.7847624                    
0.59                          -883.5425                     -0.7835872                    
0.6                           -881.6132                     -0.780901                     
0.61                          -879.2645                     -0.7799775                    
0.62                          -877.5869                     -0.777711                     
0.63                          -875.3221                     -0.775948                     
0.64                          -874.0638                     -0.7742691                    
0.65                          -871.3797                     -0.7725902                    
0.66                          -869.6182                     -0.7703236                    
0.67                          -867.1857                     -0.7689804                    
0.68                          -865.7597                     -0.7667978                    
0.69                          -863.7465                     -0.764951                     
0.7                           -861.5656                     -0.7628524                    
0.71                          -859.6363                     -0.7613413                    
0.72                          -857.5393                     -0.7596624                    
0.73                          -855.4423                     -0.7578995                    
0.74                          -853.5969                     -0.7557169                    
0.75                          -851.5837                     -0.7542058                    
0.76                          -849.4866                     -0.7526948                    
0.77                          -847.3058                     -0.75068                      
0.78                          -845.5443                     -0.7490851                    
0.79                          -843.6151                     -0.7468185                    
0.8                           -841.518                      -0.7453074                    
0.81                          -839.5048                     -0.7429569                    
0.82                          -837.2401                     -0.741194                     
0.83                          -835.3108                     -0.7401027                    
0.84                          -833.4654                     -0.7380041                    
0.85                          -831.6201                     -0.7353178                    
0.86                          -829.7746                     -0.7344784                    
0.87                          -827.5937                     -0.7319599                    
0.88                          -825.2451                     -0.7305328                    
0.89                          -823.3997                     -0.7285181                    
0.9                           -821.3026                     -0.727007                     
0.91                          -819.2894                     -0.7250763                    
0.92                          -817.6119                     -0.7232294                    
0.93                          -815.0115                     -0.7211308                    
0.94                          -813.4177                     -0.7194519                    
0.95                          -811.5724                     -0.7174371                    
0.96                          -809.8109                     -0.7162619                    
0.97                          -807.4622                     -0.7138274                    
0.98                          -805.7007                     -0.7123164                    
0.99                          -803.352                      -0.7109732                    
1                             -801.5067                     -0.7087906                    
1.01                          -799.3257                     -0.7069438                    
1.02                          -797.5642                     -0.7053488                    
1.03                          -795.3834                     -0.7030822                    
1.04                          -793.538                      -0.7013193                    
1.05                          -791.4409                     -0.6993046                    
1.06                          -789.1761                     -0.6975417                    
1.07                          -787.4985                     -0.6956109                    
1.08                          -785.737                      -0.6943517                    
1.09                          -783.4722                     -0.692337                     
1.1                           -781.2074                     -0.6906581                    
1.11                          -779.4459                     -0.6883915                    
1.12                          -777.5167                     -0.6865447                    
1.13                          -775.5873                     -0.6848658                    
1.14                          -773.4065                     -0.6834387                    
1.15                          -771.645                      -0.6810881                    
1.16                          -769.2124                     -0.6793253                    
1.17                          -767.6187                     -0.6780661                    
1.18                          -765.7733                     -0.6754637                    
1.19                          -763.5085                     -0.6741205                    
1.2                           -761.3276                     -0.6721058                    
1.21                          -759.8177                     -0.6705949                    
1.22                          -757.553                      -0.6683283                    
1.23                          -755.5398                     -0.6663975                    
1.24                          -753.8621                     -0.6652222                    
1.25                          -751.5135                     -0.6634594                    
1.26                          -749.6681                     -0.6616125                    
1.27                          -747.2355                     -0.6593459                    
1.28                          -745.4741                     -0.6579189                    
1.29                          -743.2931                     -0.6562399                    
1.3                           -741.951                      -0.6539733                    
1.31                          -739.3506                     -0.6523783                    
1.32                          -737.5053                     -0.6506994                    
1.33                          -735.3244                     -0.6486008                    
1.34                          -733.6468                     -0.6465021                    
1.35                          -731.4659                     -0.6451589                    
1.36                          -729.3688                     -0.6433961                    
1.37                          -727.5234                     -0.6411295                    
1.38                          -725.5103                     -0.6396185                    
1.39                          -723.4971                     -0.6376037                    
1.4                           -721.0646                     -0.6358408                    
1.41                          -719.0515                     -0.6340779                    
1.42                          -717.2899                     -0.6323151                    
1.43                          -715.1929                     -0.6303004                    
1.44                          -713.683                      -0.6287053                    
1.45                          -711.1666                     -0.6265228                    
1.46                          -709.2374                     -0.6249278                    
1.47                          -707.0565                     -0.622997                     
1.48                          -705.2949                     -0.6211501                    
1.49                          -703.5334                     -0.6196391                    
1.5                           -701.3525                     -0.6175405                    
1.51                          -699.591                      -0.6157776                    
1.52                          -697.494                      -0.6141826                    
1.53                          -695.397                      -0.6119999                    
1.54                          -693.216                      -0.6105729                    
1.55                          -691.3707                     -0.6091458                    
1.56                          -689.3575                     -0.6063755                    
1.57                          -687.0089                     -0.6052842                    
1.58                          -685.5828                     -0.6033534                    
1.59                          -682.9825                     -0.6010869                    
1.6                           -681.7243                     -0.5992401                    
1.61                          -679.0402                     -0.5980648                    
1.62                          -677.4464                     -0.5956303                    
1.63                          -675.3494                     -0.5940353                    
1.64                          -673.4201                     -0.5920206                    
1.65                          -671.2392                     -0.5902578                    
1.66                          -669.3938                     -0.5885788                    
1.67                          -666.9612                     -0.5863962                    
1.68                          -665.3675                     -0.5847172                    
1.69                          -663.4382                     -0.5829543                    
1.7                           -661.3412                     -0.5814433                    
1.71                          -659.412                      -0.5795125                    
1.72                          -657.4827                     -0.5780015                    
1.73                          -655.0501                     -0.575567                     
1.74                          -653.2886                     -0.5743918                    
1.75                          -651.2755                     -0.5717894                    
1.76                          -649.5139                     -0.5702784                    
1.77                          -647.5008                     -0.5685995                    
1.78                          -645.7393                     -0.5671723                    
1.79                          -643.2228                     -0.564654                     
1.8                           -641.1259                     -0.5632269                    
1.81                          -639.616                      -0.56138                      
1.82                          -637.6028                     -0.5591974                    
1.83                          -635.2542                     -0.5576024                    
1.84                          -633.3249                     -0.5557556                    
1.85                          -631.3117                     -0.5537409                    
1.86                          -629.0469                     -0.5522298                    
1.87                          -626.866                      -0.5500472                    
1.88                          -625.4401                     -0.5486201                    
1.89                          -623.5108                     -0.5463536                    
1.9                           -621.1621                     -0.5452623                    
1.91                          -619.4845                     -0.5429957                    
1.92                          -617.2197                     -0.5413167                    
1.93                          -615.0388                     -0.539386                     
1.94                          -612.8579                     -0.5376231                    
1.95                          -611.5997                     -0.5358602                    
1.96                          -609.4188                     -0.5341813                    
1.97                          -607.4895                     -0.5319986                    
1.98                          -605.0569                     -0.5305716                    
1.99                          -603.2115                     -0.5294803                    
2                             -601.5339                     -0.5264581                    
2.01                          -599.353                      -0.5250311                    
2.02                          -597.5915                     -0.5231003                    
2.03                          -595.2428                     -0.5215053                    
2.04                          -593.3975                     -0.5192388                    
