Time(s)                       E(mV)                         I(mA)                         
0.01                          0.397432                      0.005494642                   
0.02                          0.9007191                     0.008278975                   
0.03                          1.907293                      0.01001499                    
0.04                          2.997749                      0.01139038                    
0.05                          4.004323                      0.01249741                    
0.06                          4.675372                      0.01345854                    
0.07                          6.101352                      0.01422661                    
0.08                          6.772402                      0.01499217                    
0.09                          8.03062                       0.01648388                    
0.1                           8.701669                      0.01711276                    
0.11                          10.37929                      0.01807956                    
0.12                          11.05034                      0.0186531                     
0.13                          11.97303                      0.01989577                    
0.14                          13.06349                      0.02046428                    
0.15                          13.98618                      0.02158704                    
0.16                          14.90888                      0.02235679                    
0.17                          16.08321                      0.02341079                    
0.18                          17.08979                      0.02446396                    
0.19                          17.84472                      0.0252857                     
0.2                           19.10294                      0.02620806                    
0.21                          19.60622                      0.02695181                    
0.22                          20.94832                      0.02819532                    
0.23                          21.87101                      0.02914954                    
0.24                          23.297                        0.02978178                    
0.25                          23.7164                       0.03029662                    
0.26                          25.39402                      0.03184367                    
0.27                          25.89731                      0.03264025                    
0.28                          26.82                         0.03347625                    
0.29                          28.1621                       0.03425774                    
0.3                           29.16868                      0.03534779                    
0.31                          30.25913                      0.0361863                     
0.32                          31.26571                      0.03721599                    
0.33                          32.10452                      0.03799832                    
0.34                          32.94333                      0.03898524                    
0.35                          34.28543                      0.04003925                    
0.36                          35.04036                      0.04051468                    
0.37                          36.38246                      0.04169279                    
0.38                          37.13739                      0.04310903                    
0.39                          37.80844                      0.04341005                    
0.4                           39.15054                      0.04456719                    
0.41                          40.32487                      0.04529334                    
0.42                          40.6604                       0.04626769                    
0.43                          42.42191                      0.04747766                    
0.44                          43.09296                      0.04787678                    
0.45                          44.43505                      0.04879244                    
0.46                          45.1061                       0.05006529                    
0.47                          46.02879                      0.05056001                    
0.48                          47.45477                      0.05188653                    
0.49                          47.95806                      0.05270994                    
0.5                           49.38404                      0.05356774                    
0.51                          50.30674                      0.05457898                    
0.52                          51.06166                      0.05530513                    
0.53                          51.64883                      0.05590886                    
0.54                          53.66198                      0.05765379                    
0.55                          54.33303                      0.0580177                     
0.56                          55.00408                      0.05898031                    
0.57                          55.92678                      0.06010978                    
0.58                          57.18499                      0.06066823                    
0.59                          58.35933                      0.06177841                    
0.6                           59.28202                      0.06241316                    
0.61                          60.12083                      0.06342357                    
0.62                          61.04353                      0.0644717                     
0.63                          61.96622                      0.06509975                    
0.64                          62.97279                      0.06602462                    
0.65                          64.06325                      0.06730586                    
0.66                          64.90206                      0.06798505                    
0.67                          66.16028                      0.06912794                    
0.68                          66.83133                      0.06999579                    
0.69                          67.8379                       0.07059951                    
0.7                           69.09612                      0.07181955                    
0.71                          70.18658                      0.07268908                    
0.72                          71.19315                      0.07366007                    
0.73                          72.36749                      0.07459585                    
0.74                          72.70301                      0.07506876                    
0.75                          74.29675                      0.07608252                    
0.76                          74.9678                       0.07718097                    
0.77                          75.97438                      0.07827774                    
0.78                          77.31647                      0.07892758                    
0.79                          77.98753                      0.07970739                    
0.8                           79.24574                      0.08075637                    
0.81                          79.91679                      0.08167537                    
0.82                          81.42666                      0.08250968                    
0.83                          82.18158                      0.08362155                    
0.84                          82.93651                      0.08449444                    
0.85                          84.11086                      0.0852885                     
0.86                          84.78191                      0.08596853                    
0.87                          85.95624                      0.08739819                    
0.88                          87.21445                      0.08808661                    
0.89                          87.71774                      0.08917582                    
0.9                           88.89207                      0.08980639                    
0.91                          90.06641                      0.09107001                    
0.92                          90.90523                      0.09152868                    
0.93                          92.24733                      0.09279986                    
0.94                          93.08614                      0.09351762                    
0.95                          94.17659                      0.09441483                    
0.96                          95.18317                      0.0955326                     
0.97                          96.02198                      0.09623708                    
0.98                          96.86079                      0.09714282                    
0.99                          98.20288                      0.09837564                    
1                             98.87393                      0.09917237                    
1.01                          99.79663                      0.09989361                    
1.02                          100.7193                      0.1008748                     
1.03                          102.2292                      0.1017386                     
1.04                          103.068                       0.1029547                     
1.05                          103.9907                      0.1038772                     
1.06                          105.0811                      0.1045817                     
1.07                          105.8361                      0.1054958                     
1.08                          106.8427                      0.106519                      
1.09                          108.017                       0.1070557                     
1.1                           109.0236                      0.1082718                     
1.11                          110.114                       0.1090182                     
1.12                          111.2884                      0.1100749                     
1.13                          112.211                       0.1109555                     
