Time(s)                       Zre(Ω)                       Zim(Ω)                       Z(Ω)                         Freq(Hz)                      Phase(°)                     EDC(mV)                       CS(F)                         
1                             1.025062                      0.02887461                    1.025469                      10                            1.613518                      -0.02304                      -0.5511934
2                             1.024956                      0.0288585                     1.025362                      10                            1.612785                      -0.02304                      -0.5515012
3                             1.024973                      0.02876051                    1.025377                      10                            1.607285                      -0.02304                      -0.5533801
4                             1.024926                      0.02872558                    1.025328                      10                            1.605408                      -0.02304                      -0.5540529
5                             1.024912                      0.0288884                     1.025319                      10                            1.614525                      -0.02304                      -0.5509303
6                             1.025007                      0.02877923                    1.025411                      10                            1.608276                      -0.02304                      -0.5530202
7                             1.024821                      0.02881305                    1.025226                      10                            1.610458                      -0.02304                      -0.552371
8                             1.025011                      0.02873739                    1.025414                      10                            1.605934                      -0.02304                      -0.5538253
9                             1.024833                      0.02877555                    1.025236                      10                            1.608345                      -0.02304                      -0.5530909
10                            1.02497                       0.02874922                    1.025373                      10                            1.606659                      -0.02304                      -0.5535973
