Time(s)                       E(mV)                         I(mA)                         Q(mC)                         Capacity(mAh)                 Energy(Wh)                    P(W)
0.1                           3008.709                      960.3467                      96.03467                      0.0266763                     8.026121E-05                  2.889404
0.2                           3009.935                      961.5735                      192.1307                      0.05336963                    0.0001605901                  2.894274
0.3                           3010.11                       960.1013                      288.2144                      0.08005956                    0.0002409273                  2.89001
0.4                           3009.847                      962.0642                      384.3227                      0.1067563                     0.000321284                   2.895667
0.5                           3010.548                      961.8188                      480.5168                      0.1334769                     0.0004017182                  2.895602
0.6                           3010.986                      961.3281                      576.6742                      0.1601873                     0.0004821369                  2.894545
0.7                           3009.584                      960.8374                      672.7825                      0.186884                      0.0005625017                  2.891721
0.8                           3009.935                      961.8188                      768.9153                      0.2135876                     0.0006428731                  2.895012
0.9                           3009.847                      961.3281                      865.0726                      0.240298                      0.0007232684                  2.893451
1                             3008.534                      961.3281                      961.2054                      0.2670015                     0.0008036245                  2.892188
1.1                           3008.621                      961.0827                      1057.326                      0.2937016                     0.000883954                   2.891534
1.2                           3008.884                      960.3467                      1153.397                      0.3203882                     0.000964247                   2.889572
1.3                           3009.76                       962.3095                      1249.53                       0.3470917                     0.001044607                   2.896321
1.4                           3008.797                      961.8188                      1345.737                      0.3738157                     0.001125027                   2.893917
1.5                           3009.234                      960.592                       1441.857                      0.4005159                     0.001205368                   2.890646
1.6                           3010.285                      960.3467                      1537.904                      0.4271956                     0.001285667                   2.890917
1.7                           3008.446                      961.3281                      1633.988                      0.4538855                     0.001365987                   2.892104
1.8                           3009.234                      961.3281                      1730.121                      0.4805891                     0.001446334                   2.892862
1.9                           3009.76                       961.8188                      1826.278                      0.5072995                     0.001526719                   2.894844
2                             3008.797                      961.0827                      1922.423                      0.5340064                     0.001607087                   2.891702
2.1                           3009.584                      962.0642                      2018.58                       0.5607168                     0.001687464                   2.895414
2.2                           3009.584                      961.3281                      2114.75                       0.5874305                     0.001767861                   2.893198
2.3                           3008.971                      961.5735                      2210.895                      0.6141376                     0.00184823                    2.893347
2.4                           3009.672                      961.3281                      2307.04                       0.6408445                     0.0019286                     2.893282
2.5                           3008.446                      961.8188                      2403.198                      0.6675549                     0.002008973                   2.89358
2.6                           3008.446                      960.1013                      2499.293                      0.6942482                     0.002089279                   2.888413
2.7                           3007.483                      960.3467                      2595.316                      0.7209211                     0.002169509                   2.888227
2.8                           3008.271                      960.592                       2691.363                      0.7476008                     0.002249759                   2.889721
2.9                           3009.059                      960.592                       2787.422                      0.7742839                     0.002330039                   2.890478
3                             3007.746                      960.8374                      2883.494                      0.8009704                     0.002410323                   2.889955
3.1                           3008.096                      961.5735                      2979.614                      0.8276706                     0.002490635                   2.892505
3.2                           3008.534                      960.592                       3075.722                      0.8543673                     0.002570947                   2.889973
3.3                           3007.921                      961.8188                      3171.843                      0.8810675                     0.002651267                   2.893075
3.4                           3008.271                      960.1013                      3267.939                      0.9077608                     0.002731564                   2.888245
3.5                           3008.621                      961.0827                      3363.998                      0.9344439                     0.002811838                   2.891534
3.6                           3008.971                      961.8188                      3460.143                      0.9611509                     0.002892194                   2.894085
3.7                           3007.483                      960.8374                      3556.276                      0.9878545                     0.002972524                   2.889702
3.8                           3007.746                      960.8374                      3652.36                       1.014544                      0.003052797                   2.889955
3.9                           3007.833                      961.3281                      3748.468                      1.041241                      0.003133096                   2.891515
4                             3007.571                      961.8188                      3844.625                      1.067952                      0.003213432                   2.892738
4.1                           3008.096                      961.0827                      3940.771                      1.094658                      0.003293762                   2.891029
4.2                           3008.709                      961.3281                      4036.891                      1.121359                      0.003374087                   2.892356
4.3                           3008.797                      961.0827                      4133.012                      1.148059                      0.003454421                   2.891702
4.4                           3008.621                      962.0642                      4229.169                      1.174769                      0.003534785                   2.894487
4.5                           3008.534                      960.592                       4325.302                      1.201473                      0.003615125                   2.889973
4.6                           3009.234                      962.3095                      4421.447                      1.22818                       0.003695483                   2.895815
