Time(s)                       Zre(Ω)                       Zim(Ω)                       Z(Ω)                         Freq(Hz)                      Phase(°)                     EDC(V)
0.128                         7.667357                      -0.2659171                    7.671967                      10000                         1.98632                       5.053743E-05
0.2891425                     7.676237                      -0.3431349                    7.683903                      7943.282                      2.559471                      5.053743E-05
0.4920088                     7.63498                       -0.4390383                    7.647593                      6309.573                      3.291085                      5.053743E-05
0.7474024                     7.512738                      -0.5509865                    7.532916                      5011.872                      4.19458                       5.053743E-05
1.068924                      7.202188                      -0.6666893                    7.23298                       3981.072                      5.288661                      5.053743E-05
1.473696                      6.720568                      -0.7768832                    6.765322                      3162.278                      6.594002                      5.053743E-05
1.983273                      6.153797                      -0.8908049                    6.217938                      2511.886                      8.236748                      5.053743E-05
2.624793                      5.584466                      -1.00848                      5.674795                      1995.262                      10.23653                      5.053743E-05
3.432418                      5.076445                      -1.129747                     5.200636                      1584.893                      12.54654                      5.053743E-05
4.449158                      4.611625                      -1.243241                     4.776268                      1258.925                      15.08759                      5.053743E-05
4.481158                      4.165172                      -1.335206                     4.37395                       1000                          17.77401                      5.053743E-05
4.521444                      3.724047                      -1.377472                     3.970636                      794.3282                      20.29872                      5.053743E-05
4.57216                       3.280514                      -1.354814                     3.549267                      630.9573                      22.44005                      5.053743E-05
4.636009                      2.85759                       -1.271205                     3.127584                      501.1872                      23.98199                      5.053743E-05
4.716389                      2.474253                      -1.117449                     2.714889                      398.1072                      24.3054                       5.053743E-05
4.817582                      2.13875                       -0.9444299                    2.33799                       316.2278                      23.82532                      5.053743E-05
4.944976                      1.861042                      -0.7747246                    2.015857                      251.1886                      22.60124                      5.053743E-05
5.105356                      1.63598                       -0.6147783                    1.747679                      199.5262                      20.59552                      5.053743E-05
5.307262                      1.459731                      -0.4819676                    1.53724                       158.4893                      18.27196                      5.053743E-05
5.561448                      1.325511                      -0.376812                     1.37803                       125.8925                      15.86922                      5.053743E-05
5.601448                      1.227605                      -0.2941547                    1.262355                      100                           13.47497                      5.053743E-05
5.651804                      1.158234                      -0.2309889                    1.181043                      79.43282                      11.27864                      5.053743E-05
5.7152                        1.110228                      -0.1839424                    1.125363                      63.09573                      9.407298                      5.053743E-05
5.795011                      1.07859                       -0.1461192                    1.088442                      50.11872                      7.715035                      5.053743E-05
5.895486                      1.057886                      -0.1152925                    1.064149                      39.81072                      6.21977                       5.053743E-05
6.021977                      1.045051                      -0.09076844                   1.048986                      31.62278                      4.963995                      5.053743E-05
6.18122                       1.036263                      -0.07201634                   1.038763                      25.11886                      3.975447                      5.053743E-05
6.381695                      1.030311                      -0.05808836                   1.031947                      19.95262                      3.226889                      5.053743E-05
6.634078                      1.026756                      -0.04617982                   1.027794                      15.84893                      2.575223                      5.053743E-05
6.951809                      1.024812                      -0.03637894                   1.025458                      12.58925                      2.033041                      5.053743E-05
7.351809                      1.023287                      -0.02893445                   1.023696                      10                            1.619662                      5.053743E-05
7.855379                      1.022307                      -0.02300852                   1.022566                      7.943282                      1.289308                      5.053743E-05
8.489336                      1.021835                      -0.01818383                   1.021996                      6.309573                      1.019487                      5.053743E-05
9.287441                      1.021425                      -0.01454849                   1.021528                      5.011872                      0.8160279                     5.053743E-05
10.2922                       1.021205                      -0.01155989                   1.02127                       3.981072                      0.6485525                     5.053743E-05
11.55711                      1.021066                      -0.009177043                  1.021107                      3.162278                      0.514944                      5.053743E-05
13.14954                      1.02099                       -0.007285045                  1.021016                      2.511886                      0.408814                      5.053743E-05
15.15429                      1.020948                      -0.005800687                  1.020965                      1.995262                      0.3255321                     5.053743E-05
17.67812                      1.020901                      -0.004675637                  1.020911                      1.584893                      0.2624079                     5.053743E-05
20.85543                      1.020886                      -0.003750433                  1.020893                      1.258925                      0.2104867                     5.053743E-05
22.85543                      1.020861                      -0.002987928                  1.020866                      1                             0.1676968                     5.053743E-05
25.37328                      1.02085                       -0.002405649                  1.020853                      0.794328                      0.1350182                     5.053743E-05
28.54307                      1.020841                      -0.001887023                  1.020843                      0.630957                      0.105911                      5.053743E-05
32.5336                       1.02081                       -0.001486869                  1.020811                      0.501187                      0.08345456                    5.053743E-05
37.55737                      1.020772                      -0.001240621                  1.020772                      0.398107                      0.06963583                    5.053743E-05
43.88192                      1.020769                      -0.00102759                   1.02077                       0.316228                      0.05767861                    5.053743E-05
51.84406                      1.02074                       -0.000817203                  1.02074                       0.251189                      0.04587092                    5.053743E-05
61.86781                      1.020703                      -0.0006873826                 1.020703                      0.199526                      0.0385853                     5.053743E-05
74.48698                      1.020666                      -0.0005564101                 1.020666                      0.158489                      0.03123445                    5.053743E-05
90.37349                      1.020643                      -0.0004266973                 1.020643                      0.125893                      0.02395347                    5.053743E-05
110.3735                      1.020645                      -0.0003563117                 1.020645                      0.1                           0.02000221                    5.053743E-05
