Time(s)                       Zre(Ω)                       Zim(Ω)                       Z(Ω)                         Freq(Hz)                      Phase(°)                     EDC(mV)                       CS(F)                         
1                             82.91602                      -15.25098                     84.30694                      10                            -10.42209                     56.99567                      0.001043572
2                             110.5188                      78.47921                      135.5485                      10                            35.37849                      56.99567                      -0.0002027989
3                             -43.48763                     -40.75653                     59.60091                      10                            -136.8568                     56.99567                      0.0003905017
4                             -47.42595                     -36.28864                     59.71672                      10                            -142.5781                     56.99567                      0.0004385806
5                             -22.24542                     -37.77505                     43.83849                      10                            -120.4935                     56.99567                      0.0004213229
6                             -91.35945                     -23.18929                     94.25652                      10                            -165.7577                     56.99567                      0.0006863295
7                             13.8344                       48.58352                      50.51484                      10                            74.10543                      56.99567                      -0.0003275904
8                             -5.846849                     -42.44667                     42.84747                      10                            -97.8429                      56.99567                      0.0003749527
9                             -109.1839                     -2.863358                     109.2214                      10                            -178.4978                     56.99567                      0.005558331
10                            65.50382                      14.18412                      67.02193                      10                            12.21812                      56.99567                      -0.001122064
