Time(s)                       E(mV)                         I(mA)                         Q(mC)                         Capacity(mAh)                 Energy(Wh)                    P(W)
0.1                           3015.101                      962.5549                      96.25549                      0.02673764                    8.061668E-05                  2.9022
0.2                           3014.225                      961.5735                      192.4619                      0.05346164                    0.0001611806                  2.898399
0.3                           3014.225                      962.3095                      288.6561                      0.08018224                    0.0002417225                  2.900618
0.4                           3014.313                      962.8002                      384.9116                      0.1069199                     0.0003223169                  2.902181
0.5                           3013.525                      962.5549                      481.1793                      0.1336609                     0.0004029122                  2.900684
0.6                           3013.7                        962.3095                      577.4225                      0.1603951                     0.0004834788                  2.900112
0.7                           3014.401                      962.5549                      673.6658                      0.1871294                     0.0005640571                  2.901526
0.8                           3013.788                      962.3095                      769.909                       0.2138636                     0.0006446366                  2.900197
0.9                           3013.963                      962.8002                      866.1645                      0.2406012                     0.0007252205                  2.901844
1                             3014.663                      962.3095                      962.4199                      0.2673389                     0.0008058161                  2.901039
1.1                           3014.663                      963.0457                      1058.688                      0.2940799                     0.0008864314                  2.903259
1.2                           3014.576                      962.0642                      1154.943                      0.3208176                     0.0009670352                  2.900215
1.3                           3015.101                      962.8002                      1251.186                      0.3475518                     0.001047635                   2.90294
1.4                           3015.189                      961.8188                      1347.417                      0.3742826                     0.001128232                   2.900065
1.5                           3014.313                      962.0642                      1443.612                      0.4010032                     0.001208788                   2.899963
1.6                           3014.401                      962.8002                      1539.855                      0.4277374                     0.001289374                   2.902266
1.7                           3015.364                      963.5364                      1636.172                      0.4544921                     0.001370037                   2.905413
1.8                           3013.963                      962.5549                      1732.476                      0.4812434                     0.001450683                   2.901105
1.9                           3014.313                      963.291                       1828.768                      0.5079913                     0.001531304                   2.90366
2                             3013.612                      962.5549                      1925.061                      0.5347391                     0.001611921                   2.900768
2.1                           3013.7                        962.8002                      2021.328                      0.5614802                     0.00169251                    2.901591
2.2                           3013.963                      962.3095                      2117.584                      0.5882178                     0.001773092                   2.900365
2.3                           3014.051                      962.8002                      2213.839                      0.6149554                     0.00185368                    2.901928
2.4                           3014.488                      963.0457                      2310.132                      0.6417033                     0.001934305                   2.90309
2.5                           3013.612                      962.0642                      2406.387                      0.6684409                     0.002014894                   2.899289
2.6                           3013.875                      962.3095                      2502.606                      0.6951683                     0.002095443                   2.900281
2.7                           3014.751                      962.0642                      2598.825                      0.7218958                     0.002176008                   2.900384
2.8                           3014.488                      962.3095                      2695.043                      0.7486232                     0.002256581                   2.900871
