Time(s)                       E(mV)                         I(mA)                         
0.01                          -999.9695                     -0.8980067                    
0.02                          -997.537                      -0.8916267                    
0.03                          -996.0272                     -0.8876812                    
0.04                          -993.9301                     -0.8851628                    
0.05                          -991.6653                     -0.8829802                    
0.06                          -989.736                      -0.8812173                    
0.07                          -987.4712                     -0.8791187                    
0.08                          -986.213                      -0.8781112                    
0.09                          -983.6127                     -0.8750892                    
0.1                           -982.019                      -0.8734942                    
0.11                          -979.9219                     -0.8718153                    
0.12                          -977.8249                     -0.8697166                    
0.13                          -975.3924                     -0.8684574                    
0.14                          -973.2953                     -0.866023                     
0.15                          -971.45                       -0.864344                     
0.16                          -969.6046                     -0.8624972                    
0.17                          -967.5914                     -0.8603146                    
0.18                          -965.746                      -0.8591393                    
0.19                          -963.3135                     -0.8571246                    
0.2                           -961.8036                     -0.8551099                    
0.21                          -959.5388                     -0.8529272                    
0.22                          -957.1901                     -0.8525915                    
0.23                          -955.4286                     -0.8497373                    
0.24                          -953.4993                     -0.8479744                    
0.25                          -951.9056                     -0.8464633                    
0.26                          -949.473                      -0.8447005                    
0.27                          -947.376                      -0.8425179                    
0.28                          -945.3629                     -0.8405871                    
0.29                          -943.0981                     -0.8386562                    
0.3                           -941.5043                     -0.8368095                    
0.31                          -939.9106                     -0.8347108                    
0.32                          -937.5619                     -0.8333676                    
0.33                          -935.2133                     -0.8316048                    
0.34                          -933.5356                     -0.829506                     
0.35                          -931.6064                     -0.8278272                    
0.36                          -929.6771                     -0.8262322                    
0.37                          -927.3285                     -0.8238816                    
0.38                          -925.9863                     -0.8220348                    
0.39                          -923.6376                     -0.820272                     
0.4                           -921.6245                     -0.8187609                    
0.41                          -919.4436                     -0.8168302                    
0.42                          -917.4304                     -0.815487                     
0.43                          -915.5851                     -0.8129686                    
0.44                          -913.9074                     -0.8111218                    
0.45                          -911.8943                     -0.8096946                    
0.46                          -909.7134                     -0.80768                      
0.47                          -907.7002                     -0.806001                     
0.48                          -905.5193                     -0.8040702                    
0.49                          -903.4223                     -0.8025592                    
0.5                           -901.8286                     -0.8003765                    
0.51                          -899.6476                     -0.7986137                    
0.52                          -897.7184                     -0.796515                     
0.53                          -895.6213                     -0.795004                     
0.54                          -893.6082                     -0.7935768                    
0.55                          -891.5112                     -0.7907227                    
0.56                          -889.6658                     -0.7896314                    
0.57                          -887.4849                     -0.7873648                    
0.58                          -885.4717                     -0.7856859                    
0.59                          -883.7941                     -0.7841748                    
0.6                           -881.5293                     -0.7822441                    
0.61                          -879.4323                     -0.7805651                    
0.62                          -877.7547                     -0.7784665                    
0.63                          -875.7415                     -0.7765357                    
0.64                          -873.5605                     -0.7750246                    
0.65                          -871.6313                     -0.7735136                    
0.66                          -869.702                      -0.7710791                    
0.67                          -867.7728                     -0.7694002                    
0.68                          -865.6758                     -0.7678891                    
0.69                          -863.9142                     -0.7657905                    
