Time(s)                       Zre(Ω)                       Zim(Ω)                       Z(Ω)                         Freq(Hz)                      Phase(°)                     EDC(mV)                       CS(F)                         
1                             1.025196                      0.02899641                    1.025606                      10                            1.62011                       0.07182016                    -0.548878
2                             1.02531                       0.02891644                    1.025718                      10                            1.615463                      0.07182016                    -0.550396
3                             1.025183                      0.02897939                    1.025592                      10                            1.619179                      0.07182016                    -0.5492005
4                             1.025141                      0.02887929                    1.025548                      10                            1.613655                      0.07182016                    -0.551104
5                             1.025132                      0.02901086                    1.025542                      10                            1.621017                      0.07182016                    -0.5486047
6                             1.025217                      0.02861789                    1.025617                      10                            1.598938                      0.07182016                    -0.5561379
7                             1.025167                      0.02896008                    1.025576                      10                            1.618126                      0.07182016                    -0.5495667
8                             1.025119                      0.02879397                    1.025523                      10                            1.608925                      0.07182016                    -0.5527371
9                             1.025168                      0.02907597                    1.02558                       10                            1.624596                      0.07182016                    -0.5473763
10                            1.025181                      0.028808                      1.025585                      10                            1.609612                      0.07182016                    -0.5524679
