Time(s)                       E(mV)                         I(mA)                         Q(mC)                         Capacity(mAh)                 Energy(Wh)                    P(W)
0.1                           3010.198                      961.5735                      96.15735                      0.02671037                    8.040349E-05                  2.894526
0.2                           3010.811                      960.592                       192.2656                      0.05340712                    0.0001607741                  2.89216
0.3                           3010.811                      960.8374                      288.3371                      0.08009364                    0.0002411222                  2.8929
0.4                           3010.723                      961.3281                      384.4454                      0.1067904                     0.0003214999                  2.894293
0.5                           3011.423                      961.5735                      480.5905                      0.1334973                     0.0004019165                  2.895705
0.6                           3011.073                      961.8188                      576.7601                      0.1602111                     0.0004823583                  2.896107
0.7                           3011.161                      961.3281                      672.9174                      0.1869215                     0.0005627864                  2.894714
0.8                           3010.635                      960.592                       769.0134                      0.2136148                     0.0006431573                  2.891992
0.9                           3011.511                      961.5735                      865.1217                      0.2403116                     0.0007235432                  2.895789
1                             3010.723                      961.5735                      961.2791                      0.267022                      0.0008039712                  2.895031
1.1                           3011.599                      962.5549                      1057.485                      0.293746                      0.0008844415                  2.898829
1.2                           3010.285                      960.8374                      1153.655                      0.3204597                     0.0009648752                  2.892395
1.3                           3011.686                      962.3095                      1249.812                      0.3471701                     0.0010453                     2.898174
1.4                           3011.249                      961.0827                      1345.982                      0.3738839                     0.001125747                   2.894059
1.5                           3010.46                       961.5735                      1442.115                      0.4005875                     0.001206148                   2.894779
1.6                           3011.686                      962.3095                      1538.309                      0.4273081                     0.001286606                   2.898174
1.7                           3010.898                      961.0827                      1634.479                      0.4540218                     0.001367049                   2.893722
1.8                           3010.548                      961.8188                      1730.624                      0.4807288                     0.001447456                   2.895602
