Time(s)                       Zre(Ω)                       Zim(Ω)                       Z(Ω)                         Freq(Hz)                      Phase(°)                     EDC(V)
0.128                         7.664357                      -0.2663147                    7.668982                      10000                         1.990066                      0.0001064806
0.2891425                     7.67099                       -0.3443537                    7.678716                      7943.282                      2.570304                      0.0001064806
0.4920088                     7.619191                      -0.4376313                    7.631749                      6309.573                      3.287345                      0.0001064806
0.7474024                     7.501487                      -0.5451332                    7.521268                      5011.872                      4.15638                       0.0001064806
1.068924                      7.202017                      -0.663296                     7.232497                      3981.072                      5.262019                      0.0001064806
1.473696                      6.72698                       -0.7778954                    6.771808                      3162.278                      6.596279                      0.0001064806
1.983273                      6.157244                      -0.8897299                    6.221196                      2511.886                      8.222401                      0.0001064806
2.624793                      5.58496                       -1.006163                     5.674869                      1995.262                      10.21262                      0.0001064806
3.432418                      5.0791                        -1.128188                     5.202889                      1584.893                      12.52342                      0.0001064806
4.449158                      4.614716                      -1.243325                     4.779274                      1258.925                      15.07892                      0.0001064806
4.481158                      4.167655                      -1.33554                      4.376416                      1000                          17.76825                      0.0001064806
4.521444                      3.727904                      -1.378457                     3.974596                      794.3282                      20.29275                      0.0001064806
4.57216                       3.285418                      -1.356925                     3.554605                      630.9573                      22.44134                      0.0001064806
4.636009                      2.862009                      -1.272174                     3.132016                      501.1872                      23.96534                      0.0001064806
4.716389                      2.478178                      -1.119288                     2.719222                      398.1072                      24.30669                      0.0001064806
4.817582                      2.142961                      -0.9470533                    2.342902                      316.2278                      23.8424                       0.0001064806
4.944976                      1.863571                      -0.7763309                    2.018809                      251.1886                      22.61575                      0.0001064806
5.105356                      1.637415                      -0.6159727                    1.749443                      199.5262                      20.6156                       0.0001064806
