Time(s)                       E(mV)                         I(mA)                         
0.1                           10993.1                       0.0003768001                  
0.2                           10993.1                       0.0003768001                  
0.3                           10993.1                       8.051974E-05                  
0.4                           10993.1                       9.730896E-05                  
0.5                           10993.1                       6.15443E-05                   
0.6                           10993.1                       5.984787E-05                  
0.7                           10993.1                       5.484544E-05                  
0.8                           10993.1                       5.450688E-05                  
0.9                           10993.1                       5.416833E-05                  
1                             10993.1                       5.374515E-05                  
1.1                           10993.1                       4.080593E-06                  
1.2                           10993.1                       3.954648E-06                  
1.3                           10993.1                       3.56842E-06                   
1.4                           10993.1                       3.333324E-06                  
1.5                           10993.1                       3.098228E-06                  
1.6                           10993.1                       2.98068E-06                   
1.7                           10993.1                       2.737188E-06                  
1.8                           10993.1                       3.34172E-06                   
1.9                           10993.1                       2.141052E-06                  
2                             10993.1                       2.879925E-06                  
2.1                           10993.1                       1.712841E-06                  
2.2                           10993.1                       2.342563E-06                  
2.3                           10993.1                       1.225857E-06                  
2.4                           10993.1                       1.746427E-06                  
2.5                           10993.1                       6.717025E-07                  
2.6                           10993.1                       5.625509E-07                  
2.7                           10993.1                       2.770773E-07                  
2.8                           10993.1                       5.037769E-08                  
2.9                           10993.1                       -2.015108E-07                 
3                             10993.1                       -4.366067E-07                 
3.1                           10993.1                       -7.556653E-07                 
3.2                           10993.1                       -9.23591E-07                  
3.3                           10993.1                       -1.259442E-06                 
3.4                           10993.1                       -1.418972E-06                 
3.5                           10993.1                       -1.612086E-06                 
3.6                           10993.1                       -1.150291E-06                 
3.7                           10993.1                       -2.183033E-06                 
3.8                           10993.1                       -2.359355E-06                 
3.9                           10993.1                       -1.939541E-06                 
4                             10993.1                       -2.871528E-06                 
4.1                           10993.1                       -2.359355E-06                 
4.2                           10993.1                       -3.291342E-06                 
4.3                           10993.1                       -2.787566E-06                 
4.4                           10993.1                       -3.677571E-06                 
4.5                           10993.1                       -3.769931E-06                 
4.6                           10993.1                       -3.383702E-06                 
4.7                           10993.1                       -4.298896E-06                 
4.8                           10993.1                       -3.778327E-06                 
4.9                           10993.1                       -4.047008E-06                 
5                             10993.1                       -4.861447E-06                 
5.1                           10993.1                       -4.978995E-06                 
5.2                           10993.1                       -5.146921E-06                 
5.3                           10993.1                       -5.398809E-06                 
5.4                           10993.1                       -5.541546E-06                 
5.5                           10993.1                       -5.75985E-06                  
5.6                           10993.1                       -5.96136E-06                  
5.7                           10993.1                       -5.491168E-06                 
5.8                           10993.1                       -6.3224E-06                   
5.9                           10993.1                       -6.473533E-06                 
6                             10993.1                       -5.978153E-06                 
6.1                           10993.1                       -6.826177E-06                 
6.2                           10993.1                       -6.355985E-06                 
6.3                           10993.1                       -7.128443E-06                 
6.4                           10993.1                       -6.658251E-06                 
6.5                           10993.1                       -7.405521E-06                 
6.6                           10993.1                       -7.413917E-06                 
6.7                           10993.1                       -7.162028E-06                 
6.8                           10993.1                       -7.842127E-06                 
6.9                           10993.1                       -7.447502E-06                 
7                             10993.1                       -8.102412E-06                 
7.1                           10993.1                       -7.657409E-06                 
7.2                           10993.1                       -8.362696E-06                 
7.3                           10993.1                       -8.404678E-06                 
7.4                           10993.1                       -8.606189E-06                 
7.5                           10993.1                       -8.547415E-06                 
7.6                           10993.1                       -8.78251E-06                  
7.7                           10993.1                       -8.849681E-06                 
7.8                           10993.1                       -8.975625E-06                 
7.9                           10993.1                       -8.614586E-06                 
8                             10993.1                       -9.177136E-06                 
8.1                           10993.1                       -9.286287E-06                 
8.2                           10993.1                       -9.462609E-06                 
8.3                           10993.1                       -9.084777E-06                 
8.4                           10993.1                       -9.185533E-06                 
8.5                           10993.1                       -9.680913E-06                 
8.6                           10993.1                       -9.773272E-06                 
8.7                           10993.1                       -9.983179E-06                 
8.8                           10993.1                       -9.554969E-06                 
8.9                           10993.1                       -1.013431E-05                 
9                             10993.1                       -9.748083E-06                 
9.1                           10993.1                       -1.031903E-05                 
9.2                           10993.1                       -9.924404E-06                 
9.3                           10993.1                       -1.042818E-05                 
9.4                           10993.1                       -1.005875E-05                 
9.5                           10993.1                       -1.054573E-05                 
9.6                           10993.1                       -1.017629E-05                 
