Time(s)                       E(mV)                         I(mA)                         
0.1                           -10983.53                     0.0002919566                  
0.2                           10993.1                       0.0002071131                  
0.3                           10993.1                       0.0003768001                  
0.4                           10993.1                       0.0003768001                  
0.5                           10993.1                       3.015208E-05                  
0.6                           10993.1                       3.85467E-05                   
0.7                           10993.1                       1.321295E-06                  
0.8                           10993.1                       3.865929E-06                  
0.9                           10993.1                       3.017718E-06                  
1                             10993.1                       3.865929E-06                  
1.1                           10993.1                       3.893349E-06                  
1.2                           10993.1                       4.062625E-06                  
1.3                           10993.1                       6.523911E-06                  
1.4                           10993.1                       6.641459E-06                  
1.5                           10993.1                       6.339193E-06                  
1.6                           10993.1                       6.624666E-06                  
1.7                           10993.1                       6.272023E-06                  
1.8                           10993.1                       6.565892E-06                  
1.9                           10993.1                       6.280419E-06                  
2                             10993.1                       6.607874E-06                  
2.1                           10993.1                       6.196456E-06                  
2.2                           10993.1                       6.582685E-06                  
2.3                           10993.1                       6.213249E-06                  
2.4                           10993.1                       6.515515E-06                  
2.5                           10993.1                       6.204852E-06                  
2.6                           10993.1                       6.532307E-06                  
2.7                           10993.1                       6.171267E-06                  
2.8                           10993.1                       6.162871E-06                  
