                       Time(s)                        Zre(Ω)                        Zim(Ω)                          Z(Ω)                      Freq(Hz)                      Phase(°)                        EDC(V)
                      0.064000                2249092.500000               -1288165.125000                2591869.250000                  20000.000000                     29.801874                      0.000000
                      0.144571                 428667.656250               -1205742.625000                1279676.250000                  15886.564453                     70.428596                      0.000000
                      0.246004                 640457.750000                -108062.578125                 649510.312500                  12619.146484                      9.577147                      0.000000
                      0.373701                 168547.546875                 406505.062500                 440062.093750                  10023.744141                    -67.479836                      0.000000
                      0.534462                -147849.968750                 335475.218750                 366610.468750                   7962.143066                   -113.783951                      0.000000
                      0.736848               -1270242.500000                 923433.187500                1570428.250000                   6324.555176                   -143.983826                      0.000000
                      0.991636               -3326386.750000                1112328.500000                3507438.250000                   5023.772461                   -161.510300                      0.000000
                      1.312396               -3337092.250000                2965915.000000                4464620.500000                   3990.524658                   -138.370193                      0.000000
                      1.716209               -1853985.000000                5345864.000000                5658226.000000                   3169.786377                   -109.126923                      0.000000
                      2.224579                1939022.500000                7673999.000000                7915179.500000                   2517.850586                    -75.819633                      0.000000
                      2.864579                4994232.000000                8458112.000000                9822526.000000                   2000.000000                    -59.439571                      0.000000
                      3.670291                 460637.125000                8546372.000000                8558777.000000                   1588.656494                    -86.914825                      0.000000
                      4.684623               -3247960.250000                7369452.500000                8053451.000000                   1261.914673                   -113.784668                      0.000000
                      5.961591                7029714.000000               11440237.000000               13427431.000000                   1002.374451                    -58.430408                      0.000000
                      6.001781               15058640.000000               -7549675.000000               16845184.000000                    796.214355                     26.626976                      0.000000
                      6.052378                9090679.000000               -8309240.500000               12316003.000000                    632.455505                     42.428547                      0.000000
                      6.116075                5391891.000000               -1739692.000000                5665599.500000                    502.377258                     17.882280                      0.000000
                      6.196265                3473721.750000                2664970.500000                4378220.000000                    399.052460                    -37.494705                      0.000000
                      6.297218                3832435.750000                5770209.000000                6926967.500000                    316.978638                    -56.408833                      0.000000
                      6.424311                5162092.500000                 975419.000000                5253441.000000                    251.785065                    -10.700337                      0.000000
                      6.584311                2809647.000000                -179235.312500                2815358.250000                    200.000000                      3.650113                      0.000000
                      6.785738                6431805.500000                1826917.375000                6686236.000000                    158.865646                    -15.856893                      0.000000
                      7.039321                9827642.000000                3193119.250000               10333371.000000                    126.191467                    -17.999603                      0.000000
                      7.358563                6433866.500000                 796680.000000                6483003.500000                    100.237442                     -7.058777                      0.000000
                      7.408801                1741223.500000                -825616.687500                1927044.875000                     79.621429                     25.368387                      0.000000
                      7.472047                 765017.250000                -916125.375000                1193539.750000                     63.245552                     50.136181                      0.000000
                      7.551668                1031632.937500               -1679907.625000                1971384.375000                     50.237724                     58.445873                      0.000000
                      7.651906                -334135.062500                 380947.125000                -506721.781250                     39.905247                     48.745461                      0.000000
                      7.778097               17388692.000000                1791402.625000               17480724.000000                     31.697863                     -5.881926                      0.000000
                      7.936963               62638204.000000               18873652.000000               65419868.000000                     25.178507                    -16.768192                      0.000000
                      8.136963               55994996.000000              -18809712.000000               59069832.000000                     20.000000                     18.568113                      0.000000
                      8.388748              115356976.000000              -93725592.000000              148632832.000000                     15.886565                     39.093273                      0.000000
                      8.705727              268581952.000000             -243220976.000000              362343360.000000                     12.619147                     42.163185                      0.000000
                      9.104779              326495616.000000             -549887936.000000              639512448.000000                     10.023744                     59.300304                      0.000000
