Name,DataType,InitValue,Comment,Attribute,DeviceType,Address,
COIL_SYS_START_CMD,BOOL,,,,coil,8010,Device start command
COIL_SYS_STOP_CMD,BOOL,,,,coil,8020,Device stop command
COIL_SYS_RESET_CMD,BOOL,,,,coil,8030,Device reset command
COIL_SYS_HAND_CMD,BOOL,,,,coil,8040,Device manual-mode command
COIL_SYS_AUTO_CMD,BOOL,,,,coil,8050,Device auto-mode command
COIL_SYS_INIT_CMD,BOOL,,,,coil,8060,Device initialization-mode command
COIL_UNILAB_SEND_MSG_SUCC_CMD,BOOL,,,,coil,8700,UNILAB recipe send-complete command
COIL_UNILAB_REC_MSG_SUCC_CMD,BOOL,,,,coil,8710,UNILAB test-data receive-complete command
COIL_SYS_START_STATUS,BOOL,,,,coil,8210,Device running status
COIL_SYS_STOP_STATUS,BOOL,,,,coil,8220,Device stopped/paused status
COIL_SYS_RESET_STATUS,BOOL,,,,coil,8230,Device fault-reset status
COIL_SYS_HAND_STATUS,BOOL,,,,coil,8240,Device manual-mode status
COIL_SYS_AUTO_STATUS,BOOL,,,,coil,8250,Device auto-mode status
COIL_SYS_INIT_STATUS,BOOL,,,,coil,8260,Device initialization-complete status
COIL_REQUEST_REC_MSG_STATUS,BOOL,,,,coil,8500,Device request to receive recipe
COIL_REQUEST_SEND_MSG_STATUS,BOOL,,,,coil,8510,Device request to send test data
REG_MSG_ELECTROLYTE_USE_NUM,INT16,,,,hold_register,11000,Electrolyte use count per bottle
REG_MSG_ELECTROLYTE_NUM,INT16,,,,hold_register,11002,UNILAB sent electrolyte bottle number
REG_MSG_ELECTROLYTE_VOLUME,INT16,,,,hold_register,11004,Electrolyte aspiration volume
REG_MSG_ASSEMBLY_TYPE,INT16,,,,hold_register,11006,Message assembly type
REG_MSG_ASSEMBLY_PRESSURE,INT16,,,,hold_register,11008,Coin-cell assembly pressing force
REG_DATA_ASSEMBLY_COIN_CELL_NUM,INT16,,,,hold_register,10000,Current assembled coin-cell count
REG_DATA_OPEN_CIRCUIT_VOLTAGE,FLOAT32,,,,hold_register,10002,Current coin-cell voltage data
REG_DATA_AXIS_X_POS,FLOAT32,,,,hold_register,10004,Data axis X position
REG_DATA_AXIS_Y_POS,FLOAT32,,,,hold_register,10006,Data axis Y position
REG_DATA_AXIS_Z_POS,FLOAT32,,,,hold_register,10008,Data axis Z position
REG_DATA_POLE_WEIGHT,FLOAT32,,,,hold_register,10010,Current coin-cell positive-electrode weight
REG_DATA_ASSEMBLY_PER_TIME,FLOAT32,,,,hold_register,10012,Current single-cell assembly time
REG_DATA_ASSEMBLY_PRESSURE,INT16,,,,hold_register,10014,Current coin-cell assembly pressing force
REG_DATA_ELECTROLYTE_VOLUME,INT16,,,,hold_register,10016,Current electrolyte filling volume
REG_DATA_COIN_TYPE,INT16,,,,hold_register,10018,Assembly parameter: electrode stacking mode (7/8)
REG_DATA_CURRENT_ASSEMBLING_COUNT,INT16,,,,hold_register,10072,Current in-progress assembly cell count (R)
REG_DATA_CURRENT_COMPLETED_COUNT,INT16,,,,hold_register,10074,Current completed assembly cell count (R)
REG_DATA_ELECTROLYTE_CODE,STRING,,,,hold_register,10020,Electrolyte QR-code serial number
REG_DATA_COIN_CELL_CODE,STRING,,,,hold_register,10030,Coin-cell QR-code serial number
REG_DATA_STACK_VISON_CODE,STRING,,,,hold_register,12004,Material-stack re-inspection image code
REG_DATA_GLOVE_BOX_PRESSURE,FLOAT32,,,,hold_register,10050,Glove-box pressure
REG_DATA_GLOVE_BOX_WATER_CONTENT,FLOAT32,,,,hold_register,10052,Glove-box water content
REG_DATA_GLOVE_BOX_O2_CONTENT,FLOAT32,,,,hold_register,10054,Glove-box oxygen content
UNILAB_SEND_ELECTROLYTE_BOTTLE_NUM,BOOL,,,,coil,8720,UNILAB electrolyte-bottle-number send-complete command
UNILAB_RECE_ELECTROLYTE_BOTTLE_NUM,BOOL,,,,coil,8520,Device request to receive electrolyte bottle number
REG_MSG_ELECTROLYTE_NUM_USED,INT16,,,,hold_register,496,Number of electrolyte bottles used
REG_DATA_ELECTROLYTE_USE_NUM,INT16,,,,hold_register,10000,Current assembled-cell count for electrolyte (R)
UNILAB_SEND_FINISHED_CMD,BOOL,,,,coil,8730,UNILAB finished-data send-complete command
UNILAB_RECE_FINISHED_CMD,BOOL,,,,coil,8530,Device request to receive finished data
REG_UNILAB_INTERACT,BOOL,,,,coil,8450,"UNILAB interaction ignore flag (false=use, true=ignore)"
COIL_ALUMINUM_FOIL,BOOL,,,,coil,8340,"Aluminum-foil material ignore flag (false=use, true=ignore)"
REG_MSG_NE_PLATE_MATRIX,INT16,,,,hold_register,440,Negative-electrode tray matrix position (initial position 0)
REG_MSG_SEPARATOR_PLATE_MATRIX,INT16,,,,hold_register,450,Separator tray matrix position (initial position 0)
