Time,open_circuit_voltage,pole_weight,assembly_time,assembly_pressure,electrolyte_volume,coin_num,electrolyte_code,coin_cell_code,formulation_order_code,formulation_ratio
20260325_132011,0.0,12.119999885559082,405.0,3189,20,7,test0008,13163721,,
20260325_132301,0.0,12.079999923706055,153.0,3172,20,7,test0008,13200631,,
20260325_132516,0.0,12.119999885559082,153.0,3205,20,7,test0008,13224031,,
20260325_132758,0.0,12.309999465942383,161.0,3221,20,7,test0008,13251351,,
20260325_133215,0.0,12.520000457763672,257.0,3318,20,7,NoRead88,13293861,,
20260325_133820,0.0,12.15999984741211,363.0,3269,20,7,NoRead88,13321291,,
20260325_134049,0.0,12.100000381469727,149.0,3383,20,7,NoRead88,13381641,,
20260325_134327,0.0,12.369999885559082,157.0,3237,20,7,NoRead88,13404651,,
20260325_160512,0.0,12.299999237060547,238.0,3577,20,7,NoRead88,16022161,,
20260325_160734,0.0,12.40000057220459,155.0,3464,20,7,NoRead88,16045481,,
20260325_161010,0.0,12.269999504089355,155.0,3609,20,7,NoRead88,60731181,,
20260325_161252,0.0,12.579999923706055,162.0,3496,20,7,NoRead88,16100671,,
20260325_161636,0.0,12.619999885559082,223.0,3399,20,7,NoRead88,16135951,,
20260325_161909,0.0,12.039999961853027,153.0,3302,20,7,NoRead88,16163351,,
20260325_162145,0.0,12.00999927520752,155.0,3350,20,7,NoRead88,16190731,,
20260325_162429,0.0,12.329998970031738,163.0,3561,20,7,NoRead88,16214361,,
20260325_162841,0.0,12.579999923706055,251.0,3593,20,7,NoRead88,16260311,,
20260325_163118,0.0,12.25999927520752,156.0,3545,20,7,NoRead88,16283921,,
20260325_163356,0.0,12.220000267028809,157.0,3464,20,7,NoRead88,16311611,,
20260325_163641,0.0,12.199999809265137,165.0,3674,20,7,NoRead88,16335401,,
20260325_164046,0.0,12.25,244.0,3512,20,7,NoRead88,16380881,,
20260325_164321,0.0,12.079999923706055,154.0,3609,20,7,NoRead88,16404401,,
20260325_164556,0.0,12.029999732971191,155.0,3593,20,7,NoRead88,16431851,,
20260325_164840,0.0,12.100000381469727,163.0,3496,20,7,NoRead88,16455451,,
20260325_172206,0.0,12.00999927520752,245.0,3011,20,7,NoRead88,17193041,BSO2026032500006,"{""EMC"": 0.949, ""LiFSI"": 0.051}"
20260325_172608,0.0,12.0,242.0,3253,20,7,NoRead88,17233491,BSO2026032500007,"{""EMC"": 0.9582, ""LiFSI"": 0.0418}"
20260325_183415,0.0,12.690000534057617,1226.0,3528,20,7,NoRead88,18150131,BSO2026032500011,"{""EMC"": 0.949, ""LiFSI"": 0.051}"
20260325_190044,0.0,12.130000114440918,1586.0,3528,20,7,NoRead88,18355771,BSO2026032500012,"{""EMC"": 0.9582, ""LiFSI"": 0.0418}"
